time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,temp_F,date
2025-01-01 00:00:00,-4.0,-11.1,58.0,0.0,,120.0,22.0,,1025.0,,2.0,24.8,2025-01-01
2025-01-01 01:00:00,-5.0,-12.0,58.0,0.0,,130.0,22.2,,1024.0,,1.0,23.0,2025-01-01
2025-01-01 02:00:00,-5.0,-12.0,58.0,0.0,,130.0,24.1,,1023.0,,2.0,23.0,2025-01-01
2025-01-01 03:00:00,-4.0,-11.9,54.0,0.0,,140.0,19.0,,1024.0,,2.0,24.8,2025-01-01
2025-01-01 04:00:00,-4.0,-12.9,50.0,0.0,,130.0,22.2,,1023.0,,3.0,24.8,2025-01-01
2025-01-01 05:00:00,-3.0,-13.0,46.0,0.0,,130.0,30.0,,1022.0,,3.0,26.6,2025-01-01
2025-01-01 06:00:00,-4.0,-12.9,50.0,0.0,,130.0,19.0,,1023.0,,3.0,24.8,2025-01-01
2025-01-01 07:00:00,-4.0,-11.9,54.0,0.0,,140.0,24.1,,1023.0,,3.0,24.8,2025-01-01
2025-01-01 08:00:00,-3.0,-12.0,50.0,0.0,,150.0,13.0,,1023.0,,3.0,26.6,2025-01-01
2025-01-01 09:00:00,-2.0,-12.1,46.0,0.0,,140.0,22.2,,1022.0,,3.0,28.4,2025-01-01
2025-01-01 10:00:00,-1.0,-10.9,47.0,0.0,,140.0,20.4,,1023.0,,3.0,30.2,2025-01-01
2025-01-01 11:00:00,1.0,-11.1,40.0,0.0,,130.0,15.0,,1022.0,,3.0,33.8,2025-01-01
2025-01-01 12:00:00,2.0,-10.9,38.0,0.0,,140.0,16.7,,1021.0,,3.0,35.6,2025-01-01
2025-01-01 13:00:00,2.0,-10.9,38.0,0.0,,140.0,7.0,,1021.0,,3.0,35.6,2025-01-01
2025-01-01 14:00:00,4.0,-9.1,38.0,0.0,,110.0,13.0,,1020.0,,3.0,39.2,2025-01-01
2025-01-01 15:00:00,4.0,-9.1,38.0,0.0,,130.0,9.3,,1020.0,,3.0,39.2,2025-01-01
2025-01-01 16:00:00,4.0,-8.1,41.0,0.0,,90.0,9.3,,1020.0,,3.0,39.2,2025-01-01
2025-01-01 17:00:00,3.0,-9.0,41.0,0.0,,110.0,9.3,,1020.0,,3.0,37.4,2025-01-01
2025-01-01 18:00:00,3.0,-7.0,48.0,0.0,,120.0,9.3,,1020.0,,3.0,37.4,2025-01-01
2025-01-01 19:00:00,3.0,-4.9,56.0,0.0,,140.0,9.0,,1021.0,,3.0,37.4,2025-01-01
2025-01-01 20:00:00,3.0,-4.0,60.0,0.0,,130.0,11.1,,1021.0,,3.0,37.4,2025-01-01
2025-01-01 21:00:00,4.0,-4.0,56.0,0.0,,130.0,15.0,,1020.0,,3.0,39.2,2025-01-01
2025-01-01 22:00:00,4.0,-4.0,56.0,0.0,,110.0,22.2,,1020.0,,3.0,39.2,2025-01-01
2025-01-01 23:00:00,4.0,-3.1,60.0,0.0,,150.0,9.3,,1021.0,,3.0,39.2,2025-01-01
2025-01-02 00:00:00,4.0,-3.1,60.0,0.1,,120.0,9.0,,1021.0,,12.0,39.2,2025-01-02
2025-01-02 01:00:00,4.0,-3.1,60.0,0.0,,130.0,9.3,,1021.0,,3.0,39.2,2025-01-02
2025-01-02 02:00:00,4.0,-2.0,65.0,0.0,,120.0,7.4,,1022.0,,3.0,39.2,2025-01-02
2025-01-02 03:00:00,5.0,-1.0,65.0,0.0,,120.0,17.0,,1022.0,,3.0,41.0,2025-01-02
2025-01-02 04:00:00,5.0,-1.0,65.0,0.0,,110.0,13.0,,1022.0,,3.0,41.0,2025-01-02
2025-01-02 05:00:00,5.0,-1.0,65.0,0.0,,100.0,11.0,,1022.0,,3.0,41.0,2025-01-02
2025-01-02 06:00:00,4.0,-1.0,70.0,0.0,,40.0,9.3,,1023.0,,3.0,39.2,2025-01-02
2025-01-02 07:00:00,3.0,-1.0,75.0,0.0,,0.0,0.0,,1023.0,,3.0,37.4,2025-01-02
2025-01-02 08:00:00,4.0,0.0,75.0,0.0,,320.0,6.0,,1025.0,,3.0,39.2,2025-01-02
2025-01-02 09:00:00,5.0,0.0,70.0,0.1,,310.0,7.4,,1026.0,,12.0,41.0,2025-01-02
2025-01-02 10:00:00,5.0,0.9,75.0,0.0,,350.0,7.4,,1028.0,,3.0,41.0,2025-01-02
2025-01-02 11:00:00,8.0,0.0,57.0,0.0,,220.0,6.0,,1026.0,,3.0,46.4,2025-01-02
2025-01-02 12:00:00,8.0,0.9,61.0,0.0,,250.0,7.4,,1026.0,,3.0,46.4,2025-01-02
2025-01-02 13:00:00,9.0,-0.1,53.0,0.0,,310.0,7.0,,1026.0,,3.0,48.2,2025-01-02
2025-01-02 14:00:00,10.0,-1.1,46.0,0.0,,0.0,0.0,,1025.0,,1.0,50.0,2025-01-02
2025-01-02 15:00:00,9.0,-0.9,50.0,0.0,,0.0,0.0,,1025.0,,3.0,48.2,2025-01-02
2025-01-02 16:00:00,6.0,-1.0,61.0,0.0,,280.0,7.0,,1025.0,,3.0,42.8,2025-01-02
2025-01-02 17:00:00,3.0,-1.0,75.0,0.0,,270.0,9.0,,1025.0,,3.0,37.4,2025-01-02
2025-01-02 18:00:00,4.0,-2.0,65.0,0.0,,0.0,0.0,,1025.0,,3.0,39.2,2025-01-02
2025-01-02 19:00:00,5.0,-1.0,65.0,0.0,,110.0,17.0,,1025.0,,3.0,41.0,2025-01-02
2025-01-02 20:00:00,5.0,-1.0,65.0,0.0,,120.0,18.5,,1025.0,,3.0,41.0,2025-01-02
2025-01-02 21:00:00,5.0,-1.9,61.0,0.0,,110.0,18.5,,1025.0,,3.0,41.0,2025-01-02
2025-01-02 22:00:00,4.0,-2.0,65.0,0.0,,120.0,7.4,,1025.0,,3.0,39.2,2025-01-02
2025-01-02 23:00:00,5.0,-3.1,56.0,0.0,,140.0,16.7,,1025.0,,3.0,41.0,2025-01-02
2025-01-03 00:00:00,4.0,-3.1,60.0,0.0,,150.0,19.0,,1024.0,,3.0,39.2,2025-01-03
2025-01-03 01:00:00,4.0,-3.1,60.0,0.0,,140.0,27.8,,1024.0,,3.0,39.2,2025-01-03
2025-01-03 02:00:00,3.0,-2.9,65.0,0.0,,130.0,19.0,,1023.0,,3.0,37.4,2025-01-03
2025-01-03 03:00:00,5.0,-3.1,56.0,0.0,,130.0,20.4,,1023.0,,2.0,41.0,2025-01-03
2025-01-03 04:00:00,4.0,-4.0,56.0,0.0,,130.0,19.0,,1022.0,,3.0,39.2,2025-01-03
2025-01-03 05:00:00,4.0,-4.0,56.0,0.0,,130.0,22.0,,1021.0,,3.0,39.2,2025-01-03
2025-01-03 06:00:00,4.0,-5.0,52.0,0.0,,140.0,24.0,,1021.0,,3.0,39.2,2025-01-03
2025-01-03 07:00:00,4.0,-5.0,52.0,0.0,,140.0,32.0,,1021.0,,3.0,39.2,2025-01-03
2025-01-03 08:00:00,4.0,-5.0,52.0,0.0,,140.0,30.0,,1021.0,,3.0,39.2,2025-01-03
2025-01-03 09:00:00,7.0,-3.8,46.0,0.0,,110.0,19.0,,1021.0,,3.0,44.6,2025-01-03
2025-01-03 10:00:00,7.0,-5.1,42.0,0.0,,140.0,30.0,,1021.0,,3.0,44.6,2025-01-03
2025-01-03 11:00:00,10.0,-5.2,34.0,0.0,,140.0,24.0,,1019.0,,3.0,50.0,2025-01-03
2025-01-03 12:00:00,11.0,-3.9,35.0,0.0,,130.0,25.9,,1017.0,,3.0,51.8,2025-01-03
2025-01-03 13:00:00,13.0,-5.1,28.0,0.0,,130.0,26.0,,1016.0,,3.0,55.4,2025-01-03
2025-01-03 14:00:00,12.0,-5.1,30.0,0.0,,140.0,27.8,,1016.0,,3.0,53.6,2025-01-03
2025-01-03 15:00:00,12.0,-5.1,30.0,0.0,,130.0,25.9,,1015.0,,3.0,53.6,2025-01-03
2025-01-03 16:00:00,12.0,-5.1,30.0,0.0,,140.0,27.8,,1014.0,,3.0,53.6,2025-01-03
2025-01-03 17:00:00,11.0,-5.9,30.0,0.0,,130.0,31.5,,1013.0,,3.0,51.8,2025-01-03
2025-01-03 18:00:00,10.0,-6.0,32.0,0.0,,120.0,29.6,,1013.0,,3.0,50.0,2025-01-03
2025-01-03 19:00:00,10.0,-6.0,32.0,0.0,,120.0,39.0,,1013.0,,3.0,50.0,2025-01-03
2025-01-03 20:00:00,9.0,-6.8,32.0,0.0,,130.0,39.0,,1011.0,,3.0,48.2,2025-01-03
2025-01-03 21:00:00,9.0,-6.8,32.0,0.0,,130.0,44.0,,1012.0,,3.0,48.2,2025-01-03
2025-01-03 22:00:00,8.0,-6.9,34.0,0.0,,130.0,28.0,,1011.0,,3.0,46.4,2025-01-03
2025-01-03 23:00:00,8.0,-6.9,34.0,0.0,,130.0,41.0,,1010.0,,3.0,46.4,2025-01-03
2025-01-04 00:00:00,9.0,-6.8,32.0,0.0,,130.0,32.0,,1009.0,,3.0,48.2,2025-01-04
2025-01-04 01:00:00,8.0,-6.9,34.0,0.0,,130.0,33.3,,1009.0,,3.0,46.4,2025-01-04
2025-01-04 02:00:00,8.0,-6.9,34.0,0.0,,110.0,24.1,,1009.0,,3.0,46.4,2025-01-04
2025-01-04 03:00:00,9.0,-8.1,29.0,0.0,,210.0,9.3,,1009.0,,3.0,48.2,2025-01-04
2025-01-04 04:00:00,5.0,-1.9,61.0,0.0,,290.0,44.5,,1009.0,,3.0,41.0,2025-01-04
2025-01-04 05:00:00,4.0,0.0,75.0,0.0,,290.0,22.0,,1012.0,,3.0,39.2,2025-01-04
2025-01-04 06:00:00,3.0,0.1,81.0,1.1,,310.0,35.2,,1012.0,,13.0,37.4,2025-01-04
2025-01-04 07:00:00,2.0,1.0,93.0,2.4,,340.0,26.0,,1013.0,,13.0,35.6,2025-01-04
2025-01-04 08:00:00,1.0,1.0,100.0,1.6,,300.0,13.0,,1014.0,,13.0,33.8,2025-01-04
2025-01-04 09:00:00,1.0,1.0,100.0,2.9,,0.0,0.0,,1015.0,,13.0,33.8,2025-01-04
2025-01-04 10:00:00,2.0,1.0,93.0,1.8,,340.0,20.4,,1017.0,,13.0,35.6,2025-01-04
2025-01-04 11:00:00,2.0,1.0,93.0,0.2,,360.0,19.0,,1017.0,,12.0,35.6,2025-01-04
2025-01-04 12:00:00,3.0,0.1,81.0,0.1,,260.0,9.0,,1017.0,,12.0,37.4,2025-01-04
2025-01-04 13:00:00,2.0,1.0,93.0,0.7,,220.0,15.0,,1017.0,,12.0,35.6,2025-01-04
2025-01-04 14:00:00,3.0,-1.9,70.0,0.5,,310.0,17.0,,1018.0,,12.0,37.4,2025-01-04
2025-01-04 15:00:00,3.0,-1.9,70.0,0.2,,320.0,18.5,,1019.0,,19.0,37.4,2025-01-04
2025-01-04 16:00:00,3.0,-1.9,70.0,0.0,,290.0,11.1,,1020.0,,3.0,37.4,2025-01-04
2025-01-04 17:00:00,2.0,-0.9,81.0,0.0,,260.0,7.4,,1021.0,,2.0,35.6,2025-01-04
2025-01-04 18:00:00,2.0,-2.0,75.0,0.0,,260.0,7.4,,1021.0,,3.0,35.6,2025-01-04
2025-01-04 19:00:00,1.0,-2.9,75.0,0.1,,230.0,9.0,,1022.0,,14.0,33.8,2025-01-04
2025-01-04 20:00:00,0.0,-3.0,80.0,0.0,,240.0,7.4,,1022.0,,3.0,32.0,2025-01-04
2025-01-04 21:00:00,-1.0,-3.0,86.0,0.0,,240.0,9.3,,1022.0,,3.0,30.2,2025-01-04
2025-01-04 22:00:00,-2.0,-3.0,93.0,0.0,,120.0,5.5,,1023.0,,3.0,28.4,2025-01-04
2025-01-04 23:00:00,-2.0,-3.0,93.0,0.0,,138.0,7.2,,1024.0,,3.0,28.4,2025-01-04
2025-01-05 00:00:00,-3.0,-4.0,93.0,0.0,,200.0,7.4,,1023.0,,3.0,26.6,2025-01-05
2025-01-05 01:00:00,-3.0,-4.0,93.0,0.0,,0.0,0.0,,1024.0,,3.0,26.6,2025-01-05
2025-01-05 02:00:00,-3.0,-4.0,93.0,0.0,,190.0,9.0,,1024.0,,3.0,26.6,2025-01-05
2025-01-05 03:00:00,-3.0,-3.0,100.0,0.0,,0.0,0.0,,1025.0,,3.0,26.6,2025-01-05
2025-01-05 04:00:00,-4.0,-5.0,93.0,0.0,,0.0,0.0,,1025.0,,5.0,24.8,2025-01-05
