time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2014-01-01 00:00:00,7.8,-7.9,32.0,,,350.0,13.0,,1013.3,,
2014-01-01 01:00:00,5.6,-8.0,37.0,0.0,,,0.0,,1014.0,,
2014-01-01 02:00:00,3.9,-7.3,44.0,0.0,,160.0,16.6,,1014.0,,
2014-01-01 03:00:00,3.3,-6.7,48.0,0.0,,170.0,20.5,,1013.6,,
2014-01-01 04:00:00,3.9,-6.1,48.0,0.0,,200.0,27.7,,1012.4,,
2014-01-01 05:00:00,3.3,-6.1,50.0,0.0,,190.0,31.7,,1011.4,,
2014-01-01 06:00:00,2.2,-6.2,54.0,0.0,,190.0,20.5,,1010.7,,
2014-01-01 07:00:00,3.9,-6.7,46.0,0.0,,200.0,18.4,,1009.6,,
2014-01-01 08:00:00,3.3,-7.2,46.0,0.0,,220.0,14.8,,1009.3,,
2014-01-01 09:00:00,2.2,-6.6,52.0,0.0,,230.0,13.0,,1009.6,,
2014-01-01 10:00:00,2.2,-6.6,52.0,0.0,,240.0,9.4,,1009.5,,
2014-01-01 11:00:00,5.0,-6.6,43.0,0.0,,360.0,20.5,,1010.1,,
2014-01-01 12:00:00,2.8,-6.1,52.0,0.0,,60.0,16.6,,1012.0,,
2014-01-01 13:00:00,1.1,-5.6,61.0,0.0,,110.0,11.2,,1013.9,,
2014-01-01 14:00:00,1.1,-2.8,75.0,,,60.0,14.8,,,,
2014-01-01 15:00:00,-0.6,-1.7,92.0,,,20.0,25.9,,1018.3,,
2014-01-01 16:00:00,-0.6,-1.7,92.0,,,20.0,18.4,,,,
2014-01-01 17:00:00,-1.1,-2.2,92.0,0.2,,20.0,7.6,,,,
2014-01-01 18:00:00,0.0,-2.2,85.0,1.0,,50.0,7.6,,1021.6,,
2014-01-01 19:00:00,0.6,-1.6,85.0,,,20.0,14.8,,1020.5,,
2014-01-01 20:00:00,0.6,-1.6,85.0,0.3,,30.0,7.6,,1020.5,,
2014-01-01 21:00:00,0.0,-1.1,92.0,0.3,,40.0,18.4,,1021.1,,
2014-01-01 22:00:00,0.0,-1.1,92.0,,,20.0,16.6,,,,
2014-01-01 23:00:00,-2.2,-3.3,92.0,0.3,,20.0,35.3,,1024.2,,
2014-01-02 00:00:00,-2.8,-3.9,92.0,,,50.0,18.4,,1025.7,,
2014-01-02 01:00:00,-3.9,-5.0,92.0,,,,0.0,,1027.0,,
2014-01-02 02:00:00,-5.6,-6.7,92.0,0.0,,210.0,14.8,,1027.8,,
2014-01-02 03:00:00,-5.6,-6.7,92.0,0.0,,210.0,18.4,,1027.9,,
2014-01-02 04:00:00,-5.6,-7.3,88.0,0.0,,200.0,22.3,,1027.5,,
2014-01-02 05:00:00,-5.6,-7.9,84.0,0.0,,200.0,20.5,,1027.4,,
2014-01-02 06:00:00,-10.6,-12.2,88.0,0.0,,180.0,18.4,,1027.5,,
2014-01-02 07:00:00,-10.6,-12.2,88.0,0.0,,170.0,16.6,,1027.0,,
2014-01-02 08:00:00,-10.6,-12.8,84.0,0.0,,180.0,16.6,,1026.2,,
2014-01-02 09:00:00,-9.4,-12.2,80.0,0.0,,170.0,24.1,,1025.9,,
2014-01-02 10:00:00,-8.3,-11.8,76.0,0.0,,160.0,24.1,,1025.3,,
2014-01-02 11:00:00,-8.9,-11.7,80.0,0.0,,170.0,22.3,,1025.5,,
2014-01-02 12:00:00,-6.1,-11.0,68.0,0.0,,220.0,16.6,,1024.8,,
2014-01-02 13:00:00,-7.8,-12.1,71.0,0.0,,,7.6,,1026.1,,
2014-01-02 14:00:00,-11.1,-13.3,84.0,0.0,,70.0,7.6,,1027.6,,
2014-01-02 15:00:00,-7.8,-11.1,77.0,0.0,,230.0,5.4,,1027.2,,
2014-01-02 16:00:00,-7.8,-10.6,80.0,0.0,,160.0,13.0,,1028.0,,
2014-01-02 17:00:00,-3.9,-8.9,68.0,0.0,,220.0,11.2,,1027.3,,
2014-01-02 18:00:00,-0.6,-7.9,58.0,0.0,,250.0,7.6,,1027.1,,
2014-01-02 19:00:00,1.1,-7.2,54.0,0.0,,,0.0,,1025.1,,
2014-01-02 20:00:00,3.9,-5.6,50.0,0.0,,110.0,9.4,,1023.3,,
2014-01-02 21:00:00,4.4,-4.4,53.0,0.0,,140.0,13.0,,1021.9,,
2014-01-02 22:00:00,5.6,-3.2,53.0,0.0,,160.0,11.2,,1021.0,,
2014-01-02 23:00:00,2.8,-5.1,56.0,0.0,,170.0,16.6,,1021.8,,
2014-01-03 00:00:00,2.8,-4.4,59.0,0.0,,,0.0,,1021.0,,
2014-01-03 01:00:00,-0.6,-4.5,75.0,0.0,,250.0,11.2,,1021.3,,
2014-01-03 02:00:00,-1.1,-4.4,78.0,0.0,,270.0,11.2,,1022.2,,
2014-01-03 03:00:00,-2.2,-5.0,81.0,0.0,,340.0,7.6,,1021.7,,
2014-01-03 04:00:00,-3.3,-6.8,77.0,0.0,,180.0,13.0,,1021.0,,
2014-01-03 05:00:00,0.0,-6.6,61.0,0.0,,220.0,18.4,,1018.3,,
2014-01-03 06:00:00,0.6,-7.2,56.0,0.0,,,7.6,,1017.4,,
2014-01-03 07:00:00,-5.0,-7.8,81.0,0.0,,190.0,11.2,,1017.2,,
2014-01-03 08:00:00,-2.8,-8.3,66.0,0.0,,180.0,9.4,,1015.2,,
2014-01-03 09:00:00,0.6,-7.2,56.0,0.0,,220.0,16.6,,1013.6,,
2014-01-03 10:00:00,2.8,-6.6,50.0,0.0,,210.0,27.7,,1011.9,,
2014-01-03 11:00:00,1.7,-7.1,52.0,0.0,,200.0,25.9,,1012.0,,
2014-01-03 12:00:00,2.8,-7.1,48.0,0.0,,200.0,24.1,,1010.8,,
2014-01-03 13:00:00,2.8,-7.1,48.0,0.0,,200.0,27.7,,1010.5,,
2014-01-03 14:00:00,2.2,-7.7,48.0,0.0,,210.0,27.7,,1010.3,,
2014-01-03 15:00:00,3.3,-7.8,44.0,0.0,,210.0,22.3,,1009.9,,
2014-01-03 16:00:00,5.0,-6.6,43.0,0.0,,200.0,22.3,,1009.5,,
2014-01-03 17:00:00,8.3,-6.3,35.0,0.0,,220.0,16.6,,1007.3,,
2014-01-03 18:00:00,10.6,-6.3,30.0,0.0,,200.0,14.8,,1005.5,,
2014-01-03 19:00:00,13.9,-6.9,23.0,0.0,,260.0,16.6,,1004.3,,
2014-01-03 20:00:00,14.4,-7.1,22.0,0.0,,280.0,44.6,,1001.6,,
2014-01-03 21:00:00,16.1,-7.6,19.0,0.0,,260.0,25.9,,999.6,,
2014-01-03 22:00:00,14.4,-7.7,21.0,0.0,,270.0,29.5,,999.2,,
2014-01-03 23:00:00,12.8,-7.3,24.0,0.0,,270.0,11.2,,1000.1,,
2014-01-04 00:00:00,12.2,-7.8,24.0,0.0,,270.0,27.7,,999.6,,
2014-01-04 01:00:00,12.8,-10.3,19.0,0.0,,280.0,16.6,,1000.2,,
2014-01-04 02:00:00,11.7,-9.3,22.0,0.0,,280.0,42.5,,1000.2,,
2014-01-04 03:00:00,8.9,-9.6,26.0,0.0,,310.0,22.3,,1001.4,,
2014-01-04 04:00:00,5.0,-8.9,36.0,0.0,,360.0,13.0,,1002.2,,
2014-01-04 05:00:00,8.9,-10.1,25.0,0.0,,300.0,24.1,,1000.5,,
2014-01-04 06:00:00,7.8,-9.6,28.0,0.0,,330.0,27.7,,1000.5,,
2014-01-04 07:00:00,3.3,-7.2,46.0,0.0,,30.0,29.5,,1001.2,,
2014-01-04 08:00:00,-1.1,-3.3,85.0,0.0,,50.0,37.1,,1003.1,,
2014-01-04 09:00:00,-2.8,-5.0,85.0,0.0,,80.0,22.3,,1005.4,,
2014-01-04 10:00:00,-2.8,-5.6,81.0,0.0,,70.0,16.6,,1006.9,,
2014-01-04 11:00:00,-3.9,-6.1,85.0,,,30.0,16.6,,,,
2014-01-04 12:00:00,-5.0,-6.1,92.0,,,360.0,25.9,,1009.6,,
2014-01-04 13:00:00,-6.1,-7.8,88.0,,,360.0,25.9,,,,
2014-01-04 14:00:00,-6.7,-7.8,92.0,1.0,,20.0,20.5,,1010.4,,
2014-01-04 15:00:00,-6.7,-8.4,88.0,,,20.0,13.0,,1012.3,,
2014-01-04 16:00:00,-6.7,-8.4,88.0,1.0,,30.0,13.0,,1013.8,,
2014-01-04 17:00:00,-6.7,-8.4,88.0,0.5,,40.0,18.4,,1013.6,,
2014-01-04 18:00:00,-6.1,-8.4,84.0,0.3,,60.0,13.0,,1013.0,,
2014-01-04 19:00:00,-6.7,-9.0,84.0,0.5,,60.0,18.4,,1013.5,,
2014-01-04 20:00:00,-6.7,-9.0,84.0,0.5,,40.0,22.3,,1014.5,,
2014-01-04 21:00:00,-6.7,-9.0,84.0,,,20.0,16.6,,1015.6,,
2014-01-04 22:00:00,-7.2,-9.4,84.0,,,30.0,14.8,,1016.9,,
2014-01-04 23:00:00,-7.2,-8.8,88.0,,,10.0,13.0,,1018.1,,
2014-01-05 00:00:00,-8.3,-9.4,92.0,0.3,,10.0,13.0,,1019.2,,
2014-01-05 01:00:00,-8.3,-9.9,88.0,,,30.0,9.4,,1020.3,,
2014-01-05 02:00:00,-8.9,-10.7,87.0,,,,0.0,,1021.1,,
2014-01-05 03:00:00,-9.4,-11.2,87.0,0.0,,,0.0,,1021.7,,
2014-01-05 04:00:00,-10.0,-11.8,87.0,0.0,,220.0,5.4,,1022.0,,
2014-01-05 05:00:00,-11.7,-13.3,88.0,0.0,,210.0,11.2,,1022.2,,
2014-01-05 06:00:00,-12.2,-13.9,87.0,0.0,,200.0,13.0,,1021.7,,
2014-01-05 07:00:00,-11.7,-13.9,84.0,0.0,,200.0,16.6,,1021.1,,
2014-01-05 08:00:00,-12.8,-14.4,88.0,0.0,,200.0,18.4,,1020.7,,
2014-01-05 09:00:00,-12.8,-14.4,88.0,0.0,,200.0,24.1,,1020.4,,
2014-01-05 10:00:00,-12.2,-14.9,80.0,0.0,,210.0,27.7,,1020.2,,
2014-01-05 11:00:00,-12.8,-16.6,73.0,0.0,,200.0,9.4,,1020.7,,
2014-01-05 12:00:00,-13.3,-16.6,76.0,0.0,,340.0,13.0,,1022.1,,
2014-01-05 13:00:00,-13.3,-16.6,76.0,0.0,,230.0,13.0,,1022.4,,
2014-01-05 14:00:00,-13.3,-15.0,87.0,,,350.0,24.1,,1025.1,,
2014-01-05 15:00:00,-13.3,-15.6,83.0,,,330.0,24.1,,1026.5,,
2014-01-05 16:00:00,-13.9,-16.2,83.0,,,30.0,25.9,,1028.7,,
2014-01-05 17:00:00,-13.3,-16.2,79.0,0.3,,40.0,14.8,,1029.9,,
2014-01-05 18:00:00,-13.3,-16.6,76.0,0.5,,350.0,16.6,,1030.4,,
2014-01-05 19:00:00,-13.9,-16.8,79.0,,,350.0,14.8,,1029.9,,
