fip_code,STATE_fip,COUNTY_fip,CENTROID_LAT,CENTROID_LON,Population_centroid_lat,Population_centroid_long,Population,county_name,state,Location Name,Latitude,Longitude,Year,Station_WMO,Station_Latitude,Station_Longitude,Distance_Miles,Status,HDD_base65F,CDD_base65F,QC_Missing_Data,QC_Extreme_Temperature,QC_Sudden_Temp_Jumps,QC_Constant_Temp_Periods,QC_Day-Night_Swings,QC_Summer_Freezing,QC_Winter_Extreme_Heat,QC_Missing_Temperature_Data,Temp_Holes,Dewpoint_Holes,RH_Holes
G0100010,1,1,32.5321596,-86.6464695,32.500389,-86.494165,54571.0,Autauga,Alabama,G0100010,32.500389,-86.494165,2011,72226,32.3,-86.0667,28.52293631620171,True,2075.0,2401.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,False,False,False
G0100030,1,3,30.6592183,-87.7460666,30.548923,-87.762381,182265.0,Baldwin,Alabama,G0100030,30.548923,-87.762381,2011,72223,30.6833,-88.0667,20.33819683842413,True,1673.0,2598.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100050,1,5,31.8702531,-85.4051035,31.844036,-85.310038,27457.0,Barbour,Alabama,G0100050,31.844036,-85.310038,2011,KTOI0,31.8604,-86.0121,41.21853438003068,True,2342.0,2071.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,False,False,False
G0100070,1,7,33.0158929,-87.1271475,33.030921,-87.127659,22915.0,Bibb,Alabama,G0100070,33.030921,-87.127659,2011,KEET0,33.1778,-86.7832,22.370841933876463,True,2629.0,2021.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100090,1,9,33.9773575,-86.56644,33.955243,-86.591491,57322.0,Blount,Alabama,G0100090,33.955243,-86.591491,2011,72228,33.5667,-86.75,28.34771913961964,True,2561.0,2247.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100110,1,11,32.1017589,-85.7172613,32.116327,-85.701192,10914.0,Bullock,Alabama,G0100110,32.116327,-85.701192,2011,72226,32.3,-86.0667,24.85235927994501,True,2075.0,2401.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,False,False,False
G0100130,1,13,31.751667,-86.6819689,31.773539,-86.65355,20947.0,Butler,Alabama,G0100130,31.773539,-86.65355,2011,KTOI0,31.8604,-86.0121,38.13537875970717,True,2342.0,2071.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,False,False,False
G0100150,1,15,33.7717061,-85.8225133,33.72546,-85.819442,118572.0,Calhoun,Alabama,G0100150,33.72546,-85.819442,2011,72228,33.5667,-86.75,54.6365502011986,True,2561.0,2247.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100170,1,17,32.9155039,-85.3940321,32.860439,-85.266474,34215.0,Chambers,Alabama,G0100170,32.860439,-85.266474,2011,72215,33.3667,-84.5667,53.512051932410266,True,2947.0,1694.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100190,1,19,34.0695153,-85.6542417,34.179333,-85.629194,25989.0,Cherokee,Alabama,G0100190,34.179333,-85.629194,2011,72324,35.0333,-85.2,63.85227883376536,True,3098.0,1957.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100210,1,21,32.8540514,-86.7266071,32.877547,-86.687406,43643.0,Chilton,Alabama,G0100210,32.877547,-86.687406,2011,KEET0,33.1778,-86.7832,21.47482016154099,True,2629.0,2021.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100230,1,23,31.9909972,-88.2489085,32.016562,-88.264164,13859.0,Choctaw,Alabama,G0100230,32.016562,-88.264164,2011,72234,32.3333,-88.75,35.86382954570098,True,2597.0,2018.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100250,1,25,31.6855211,-87.8186244,31.685685,-87.815673,25833.0,Clarke,Alabama,G0100250,31.685685,-87.815673,2011,72234,32.3333,-88.75,70.70112078115045,True,2597.0,2018.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100270,1,27,33.2703999,-85.8635254,33.272412,-85.820227,13932.0,Clay,Alabama,G0100270,33.272412,-85.820227,2011,KEET0,33.1778,-86.7832,56.040496343610286,True,2629.0,2021.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100290,1,29,33.6719637,-85.5161261,33.62977,-85.494315,14972.0,Cleburne,Alabama,G0100290,33.62977,-85.494315,2011,72215,33.3667,-84.5667,56.452430540154246,True,2947.0,1694.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100310,1,31,31.402258,-85.9896022,31.354433,-85.904715,49948.0,Coffee,Alabama,G0100310,31.354433,-85.904715,2011,KTOI0,31.8604,-86.0121,35.52542074217527,True,2342.0,2071.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,False,False,False
G0100330,1,33,34.703112,-87.8014569,34.723385,-87.685151,54428.0,Colbert,Alabama,G0100330,34.723385,-87.685151,2011,KMSL0,34.7453,-87.6102,4.517139526309213,True,2974.0,2029.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,False,True,True
G0100350,1,35,31.4309257,-86.9887221,31.418674,-86.996483,13228.0,Conecuh,Alabama,G0100350,31.418674,-86.996483,2011,KCEW0,30.7788,-86.5221,52.36691433102455,True,1899.0,2354.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100370,1,37,32.9314453,-86.2434818,32.975932,-86.155035,11539.0,Coosa,Alabama,G0100370,32.975932,-86.155035,2011,KEET0,33.1778,-86.7832,38.950997357476346,True,2629.0,2021.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100390,1,39,31.2439873,-86.4487206,31.282449,-86.410955,37765.0,Covington,Alabama,G0100390,31.282449,-86.410955,2011,KCEW0,30.7788,-86.5221,35.41547112775003,True,1899.0,2354.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100410,1,41,31.7328256,-86.3192219,31.743487,-86.29708,13906.0,Crenshaw,Alabama,G0100410,31.743487,-86.29708,2011,KTOI0,31.8604,-86.0121,18.581874884060547,True,2342.0,2071.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,False,False,False
G0100430,1,43,34.1319229,-86.8692666,34.162362,-86.831859,80406.0,Cullman,Alabama,G0100430,34.162362,-86.831859,2011,72323,34.65,-86.7833,33.80604033433587,True,3046.0,1934.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100450,1,45,31.4306536,-85.609476,31.383346,-85.641269,50251.0,Dale,Alabama,G0100450,31.383346,-85.641269,2011,KTOI0,31.8604,-86.0121,39.52786091012671,True,2342.0,2071.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,False,False,False
G0100470,1,47,32.3335397,-87.1143556,32.408815,-87.034955,43820.0,Dallas,Alabama,G0100470,32.408815,-87.034955,2011,KEET0,33.1778,-86.7832,55.107045459650216,True,2629.0,2021.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100490,1,49,34.460929,-85.803992,34.45511,-85.817208,71109.0,DeKalb,Alabama,G0100490,34.45511,-85.817208,2011,72324,35.0333,-85.2,53.13950966057016,True,3098.0,1957.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100510,1,51,32.597229,-86.1427347,32.559652,-86.225647,79303.0,Elmore,Alabama,G0100510,32.559652,-86.225647,2011,72226,32.3,-86.0667,20.193424906828888,True,2075.0,2401.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,False,False,False
G0100530,1,53,31.1222867,-87.1684097,31.088737,-87.282053,38319.0,Escambia,Alabama,G0100530,31.088737,-87.282053,2011,KCEW0,30.7788,-86.5221,49.87067945953169,True,1899.0,2354.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
G0100550,1,55,34.0476407,-86.0342629,34.013693,-86.025393,104430.0,Etowah,Alabama,G0100550,34.013693,-86.025393,2011,72228,33.5667,-86.75,51.817634947629855,True,2561.0,2247.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,False,False,False
