fip_code,STATE_fip,COUNTY_fip,CENTROID_LAT,CENTROID_LON,Population_centroid_lat,Population_centroid_long,Population,county_name,state,Location Name,Latitude,Longitude,Year,Station_WMO,Station_Latitude,Station_Longitude,Distance_Miles,Status,HDD_base65F,CDD_base65F,QC_Missing_Data,QC_Extreme_Temperature,QC_Sudden_Temp_Jumps,QC_Constant_Temp_Periods,QC_Day-Night_Swings,QC_Summer_Freezing,QC_Winter_Extreme_Heat,QC_Missing_Temperature_Data,Temp_Total_Holes,Temp_Interpolated,Temp_MERRA2_Fill,Dewpoint_Total_Holes,Dewpoint_Interpolated,Dewpoint_MERRA2_Fill,RH_Total_Holes,RH_Interpolated,RH_MERRA2_Fill,Pressure_Total_Holes,Pressure_Interpolated,Pressure_MERRA2_Fill,WindDir_Total_Holes,WindDir_Interpolated,WindDir_MERRA2_Fill,WindSpeed_Total_Holes,WindSpeed_Interpolated,WindSpeed_MERRA2_Fill,Snow_Total_Holes,Snow_Interpolated,Snow_MERRA2_Fill,Precipitation_Total_Holes,Precipitation_Interpolated,Precipitation_MERRA2_Fill
G0100010,1,1,32.5321596,-86.6464695,32.500389,-86.494165,54571.0,Autauga,Alabama,G0100010,32.500389,-86.494165,2020,72226,32.3,-86.0667,28.52293631620171,True,1611.0,2447.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8784.0,0.0,8784.0,14.0,9.0,5.0
G0100030,1,3,30.6592183,-87.7460666,30.548923,-87.762381,182265.0,Baldwin,Alabama,G0100030,30.548923,-87.762381,2020,KBFM0,30.6268,-88.0681,18.963248791921323,True,1072.0,3097.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,25.0,6.0,19.0,25.0,6.0,19.0,25.0,6.0,19.0,0.0,0.0,0.0,23.0,6.0,17.0,20.0,6.0,14.0,8784.0,0.0,8784.0,191.0,25.0,166.0
G0100050,1,5,31.8702531,-85.4051035,31.844036,-85.310038,27457.0,Barbour,Alabama,G0100050,31.844036,-85.310038,2020,KDHN0,31.321,-85.4495,37.05883379763002,True,1287.0,2691.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,17.0,3.0,14.0,17.0,3.0,14.0,17.0,3.0,14.0,31.0,4.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,8784.0,0.0,8784.0,14.0,4.0,10.0
G0100070,1,7,33.0158929,-87.1271475,33.030921,-87.127659,22915.0,Bibb,Alabama,G0100070,33.030921,-87.127659,2020,KEET0,33.1778,-86.7832,22.370841933876463,True,2117.0,1877.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,5.0,3.0,2.0,5.0,3.0,2.0,5.0,3.0,2.0,18.0,3.0,15.0,23.0,18.0,5.0,6.0,3.0,3.0,8784.0,0.0,8784.0,7.0,4.0,3.0
G0100090,1,9,33.9773575,-86.56644,33.955243,-86.591491,57322.0,Blount,Alabama,G0100090,33.955243,-86.591491,2020,K8A00,34.2291,-86.2558,26.962344693856988,True,2820.0,1312.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,190.0,12.0,178.0,190.0,12.0,178.0,190.0,12.0,178.0,8784.0,0.0,8784.0,0.0,0.0,0.0,0.0,0.0,0.0,8784.0,0.0,8784.0,7127.0,348.0,6779.0
G0100110,1,11,32.1017589,-85.7172613,32.116327,-85.701192,10914.0,Bullock,Alabama,G0100110,32.116327,-85.701192,2020,72226,32.3,-86.0667,24.85235927994501,True,1611.0,2447.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8784.0,0.0,8784.0,14.0,9.0,5.0
G0100130,1,13,31.751667,-86.6819689,31.773539,-86.65355,20947.0,Butler,Alabama,G0100130,31.773539,-86.65355,2020,KGZH0,31.4158,-87.0441,33.752601178023006,True,1414.0,2500.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8784.0,0.0,8784.0,41.0,14.0,27.0
G0100150,1,15,33.7717061,-85.8225133,33.72546,-85.819442,118572.0,Calhoun,Alabama,G0100150,33.72546,-85.819442,2020,KCTJ0,33.6317,-85.1523,38.901634387514,True,2931.0,1204.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8784.0,0.0,8784.0,0.0,0.0,0.0,0.0,0.0,0.0,8784.0,0.0,8784.0,8784.0,0.0,8784.0
G0100170,1,17,32.9155039,-85.3940321,32.860439,-85.266474,34215.0,Chambers,Alabama,G0100170,32.860439,-85.266474,2020,KALX0,32.9147,-85.963,40.586064273422906,True,2197.0,1735.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8784.0,0.0,8784.0,0.0,0.0,0.0,0.0,0.0,0.0,8784.0,0.0,8784.0,7118.0,372.0,6746.0
G0100190,1,19,34.0695153,-85.6542417,34.179333,-85.629194,25989.0,Cherokee,Alabama,G0100190,34.179333,-85.629194,2020,K8A00,34.2291,-86.2558,35.970735732526926,True,2820.0,1312.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,190.0,12.0,178.0,190.0,12.0,178.0,190.0,12.0,178.0,8784.0,0.0,8784.0,0.0,0.0,0.0,0.0,0.0,0.0,8784.0,0.0,8784.0,7127.0,348.0,6779.0
G0100210,1,21,32.8540514,-86.7266071,32.877547,-86.687406,43643.0,Chilton,Alabama,G0100210,32.877547,-86.687406,2020,KEET0,33.1778,-86.7832,21.47482016154099,True,2117.0,1877.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,5.0,3.0,2.0,5.0,3.0,2.0,5.0,3.0,2.0,18.0,3.0,15.0,23.0,18.0,5.0,6.0,3.0,3.0,8784.0,0.0,8784.0,7.0,4.0,3.0
G0100230,1,23,31.9909972,-88.2489085,32.016562,-88.264164,13859.0,Choctaw,Alabama,G0100230,32.016562,-88.264164,2020,72234,32.3333,-88.75,35.86382954570098,True,1783.0,2254.0,Good,Good,Suspicious,Suspicious,Suspicious,Good,Good,Good,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,13.0,11.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,8784.0,0.0,8784.0,0.0,0.0,0.0
G0100250,1,25,31.6855211,-87.8186244,31.685685,-87.815673,25833.0,Clarke,Alabama,G0100250,31.685685,-87.815673,2020,KGZH0,31.4158,-87.0441,49.10793118434904,True,1414.0,2500.0,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8784.0,0.0,8784.0,41.0,14.0,27.0
G0100270,1,27,33.2703999,-85.8635254,33.272412,-85.820227,13932.0,Clay,Alabama,G0100270,33.272412,-85.820227,2020,KALX0,32.9147,-85.963,26.0606244593708,True,2197.0,1735.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8784.0,0.0,8784.0,0.0,0.0,0.0,0.0,0.0,0.0,8784.0,0.0,8784.0,7118.0,372.0,6746.0
G0100290,1,29,33.6719637,-85.5161261,33.62977,-85.494315,14972.0,Cleburne,Alabama,G0100290,33.62977,-85.494315,2020,KCTJ0,33.6317,-85.1523,19.67614195563268,True,2931.0,1204.0,Good,Good,Good,Good,Suspicious,Good,Good,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8784.0,0.0,8784.0,0.0,0.0,0.0,0.0,0.0,0.0,8784.0,0.0,8784.0,8784.0,0.0,8784.0
