,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
2020-01-01 01:00:00,2020,1,1,1,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,1.33,-1.8,79.5,96643.0,0.0,0.0,266.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.9,2.69,5.62,99,9999,99999,9,999999999,0.64,0.1,0.82,99,999.0,0.0,9
2020-01-01 02:00:00,2020,1,1,2,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,1.12,-1.73,81.17,96641.0,0.0,0.0,263.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.3,2.65,4.8,99,9999,99999,9,999999999,0.64,0.09,1.31,99,999.0,0.01,9
2020-01-01 03:00:00,2020,1,1,3,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,1.0,-1.6,82.61,96670.0,0.0,0.0,270.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.6,2.68,5.25,99,9999,99999,9,999999999,0.64,0.05,1.67,99,999.0,0.01,9
2020-01-01 04:00:00,2020,1,1,4,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,0.93,-1.5,83.51,96677.0,0.0,0.0,289.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,2.69,7.69,99,9999,99999,9,999999999,0.64,0.04,1.68,99,999.0,0.01,9
2020-01-01 05:00:00,2020,1,1,5,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,0.94,-1.48,83.67,96659.0,0.0,0.0,289.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.6,2.7,7.8,99,9999,99999,9,999999999,0.64,0.03,1.04,99,999.0,0.01,9
2020-01-01 06:00:00,2020,1,1,6,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,0.89,-1.6,83.28,96681.0,0.0,0.0,287.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.1,2.67,7.69,99,9999,99999,9,999999999,0.64,0.03,0.69,99,999.0,0.01,9
2020-01-01 07:00:00,2020,1,1,7,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,0.62,-1.87,83.27,96735.0,0.0,0.0,271.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.5,2.57,6.1,99,9999,99999,9,999999999,0.64,0.04,1.41,99,999.0,0.01,9
2020-01-01 08:00:00,2020,1,1,8,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,0.31,-2.18,83.21,96781.0,17.77,1414.18,272.6,4.7,40.55,6.1,522.7,573.76,950.36,103.33,287.7,2.44,6.09,99,9999,99999,9,999999999,0.64,0.04,0.0,99,0.14,0.0,9
2020-01-01 09:00:00,2020,1,1,9,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,2.19,-2.16,72.76,96882.0,210.52,1407.83,267.33,94.88,281.25,50.62,9919.83,17447.41,6886.4,913.73,287.1,2.55,5.81,99,9999,99999,9,999999999,0.62,0.03,0.0,99,0.14,0.0,9
2020-01-01 10:00:00,2020,1,1,10,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,4.23,-2.63,60.78,96964.0,416.45,1407.52,271.6,225.98,439.41,104.45,23661.32,37487.24,13657.18,1959.97,288.3,2.93,5.96,99,9999,99999,9,999999999,0.61,0.03,0.0,99,0.14,0.0,9
