USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
690020,93218,JOLON HUNTER LIGGETT MIL RES,US,CA,KHGT,36,-121.233,317,19640715,19970401
690070,93217,FRITZSCHE AAF,US,CA,KOAR,36.683,-121.767,43,19600404,19930831
690140,93101,EL TORO MCAS,US,CA,KNZJ,33.667,-117.733,116.7,19890101,19990630
690150,93121,TWENTY NINE PALMS,US,CA,KNXP,34.3,-116.167,625.1,19900102,20200211
690190,13910,ABILENE DYESS AFB,US,TX,KDYS,32.433,-99.85,545.3,19431201,20091231
690230,24255,WHIDBEY ISLAND NAS,US,WA,KNUW,48.35,-122.667,14.3,19891201,20090602
690310,3125,YUMA PROVING GROUND,US,AZ,,32.833,-114.4,98.8,19870701,19900420
699604,3145,YUMA MCAS,US,AZ,KNYL,32.65,-114.617,64.9,19870701,20091231
700001,26492,PORTAGE GLACIER,US,AK,PATO,60.785,-148.839,31.4,20060101,20200211
700197,26558,SELAWIK,US,AK,PASK,66.6,-159.986,7.6,20060101,20200211
700260,27502,W POST-WILL ROGERS MEMORIAL AIRPORT,US,AK,PABR,71.283,-156.782,9.5,19450101,20200211
700271,27506,BARROW POINT BARROW,US,AK,KPBA,71.333,-156.65,6.1,19740318,19750302
700300,27503,WAINWRIGHT AIRPORT,US,AK,PAWI,70.639,-159.995,9.1,19991102,20200211
700300,27508,WAINWRIGHT (DEW),US,AK,PAWI,70.617,-159.85,27,19730101,19991231
700450,27512,LONELY,US,AK,LNI,70.917,-153.25,9.1,19730101,19890925
700630,27403,OLIKTOK POW 2,US,AK,POLI,70.5,-149.883,4.9,19730101,19990929
700631,25715,ATKA AIRPORT,US,AK,PAAK,52.22,-174.206,17.1,20060101,20130430
700632,26645,BUCKLAND AIRPORT,US,AK,PABL,65.983,-161.133,9.1,20060101,20200211
700634,27408,UGNU-KUPRAUK AIRPORT,US,AK,PAKU,70.331,-149.598,20.4,20060101,20200211
700635,26465,GALBRAITH LAKE AIRPORT,US,AK,PAGB,68.479,-149.49,812.6,20060105,20200206
700636,27405,PRUDHOE BAY,US,AK,PAUD,70.25,-148.333,14,19730101,19990614
700637,27406,DEADHORSE AIRPORT,US,AK,PASC,70.192,-148.477,18.6,19730101,20200211
700860,27401,BARTER ISLAND AIRPORT,US,AK,PABA,70.134,-143.577,0.6,19471001,20200211
701040,26631,CAPE LISBURNE LRRS AIRPORT,US,AK,PALU,68.867,-166.133,4.9,20060101,20200211
701043,26623,POINT HOPE AIRPORT,US,AK,PAPO,68.35,-166.8,4,20060101,20200211
701045,26649,RED DOG AIRPORT,US,AK,PADG,68.031,-162.903,296.9,20060103,20200211
701046,26418,CENTRAL AIRPORT,US,AK,PACE,65.567,-144.765,280.4,20020902,20130210
701160,26618,WALES,US,AK,,65.617,-168.05,5,19430701,19771221
701170,26634,TIN CITY LRRS AIRPORT,US,AK,PATC,65.563,-167.921,82.6,20060101,20200211
701195,26625,SHISHMAREF/NEW AIRPORT,US,AK,PASH,66.25,-166.089,2.1,20060101,20200116
701196,102,BOB BARKER MEMORIAL AIRPORT,US,AK,PAIK,66.983,-160.433,51.2,20080822,20200211
701210,26624,POINT LAY LRRS AIRPORT,US,AK,PPIZ,69.733,-163.005,7.6,20060101,20200211
701210,26638,POINT LAY,US,AK,PPIZ,69.817,-162.917,6,19730101,19991231
701213,26638,POINT LAY LIZ 2,US,AK,PIZ,69.733,-163.017,6.1,19920318,19960630
701330,26616,RALPH WIEN MEMORIAL AIRPORT,US,AK,PAOT,66.867,-162.633,9.1,19730101,20200211
701333,26643,DEERING AIRPORT,US,AK,PADE,66.069,-162.764,6.4,19990102,20200211
701335,26648,NOATAK AIRPORT,US,AK,PAWN,67.566,-162.975,26.8,20060101,20200211
701337,103,WALES AIRPORT,US,AK,PAIW,65.617,-168.1,7,20090122,20200211
701486,26642,KIVALINA AIRPORT,US,AK,PAVL,67.732,-164.548,3.1,20060101,20200211
701620,26508,UMIAT,US,AK,PAUM,69.367,-152.133,85,19460101,20130411
701625,26542,ANAKTUVUK PASS AIRPORT,US,AK,PAKP,68.167,-151.767,640.1,20060101,20200211
701718,26551,AMBLER AIRPORT,US,AK,PAFM,67.1,-157.85,88.1,20060101,20200211
701719,490,SHUNGNAK AIRPORT,US,AK,PAGH,66.888,-157.162,62.8,20091210,20200211
701730,26535,INDIAN MOUNTAIN LRRS ARPT,US,AK,PAIM,66,-153.7,388.9,20050101,20200211
701740,26533,BETTLES AIRPORT,US,AK,PABT,66.917,-151.515,193.2,19450101,20200211
701745,26480,CHANDALAR LAKE AIRPORT,US,AK,PALR,67.511,-148.493,577.6,20060101,20141009
701747,26467,MERRILL PASS WEST,US,AK,PAER,61.25,-153.82,358,19730825,19750729
701747,26554,MERRILL PASS WEST,US,AK,PAER,61.267,-153.8,356.6,20050101,20140615
701780,26529,RALPH M CALHOUN MEML ARPT,US,AK,PATA,65.175,-152.107,67.7,19430601,20200211
701793,26524,MANLEY HOT SPRINGS,US,AK,PAML,64.999,-150.638,82.9,20060101,20140501
701940,26413,FORT YUKON AIRPORT,US,AK,PFYU,66.567,-145.267,135.6,19730101,20200211
701945,46405,ARCTIC VILLAGE AIRPORT,US,AK,PARC,68.115,-145.579,637.6,20060101,20200205
701975,26422,EAGLE AIRPORT,US,AK,PAEG,64.777,-141.148,276.8,20060101,20200211
701995,26628,CAPE DARBY REMOT COM OUTLT,US,AK,PAGL,64.55,-163.007,7.6,20050101,20200211
702000,26617,NOME AIRPORT,US,AK,PAOM,64.511,-165.44,4,19400101,20200211
702005,26647,ST MARY'S AIRPORT,US,AK,PASM,62.062,-163.3,95.1,20060101,20200211
702006,26502,KALTAG AIRPORT,US,AK,PAKV,64.327,-158.742,55.2,20060101,20200211
702031,26620,MOSES POINT,US,AK,,64.7,-162.05,6.1,19430608,19790128
702035,26704,SAVOONGA AIRPORT,US,AK,PASA,63.687,-170.493,16.8,20060108,20200211
702040,26703,GAMBELL AIRPORT,US,AK,PAGM,63.767,-171.733,8.5,19870603,20200211
