zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,Distance DDY,Location DDY
96916,13.26053,144.70067,Merizo,GU,Guam,TRUE,,,,66010,Guam,"{""66010"": 100}",Guam,66010,FALSE,FALSE,Pacific/Guam,5101.489446,SHEMYA ISLAND
96917,13.29489,144.73413,Inarajan,GU,Guam,TRUE,,,,66010,Guam,"{""66010"": 100}",Guam,66010,FALSE,FALSE,Pacific/Guam,5096.512127,SHEMYA ISLAND
96928,13.38497,144.66153,Agat,GU,Guam,TRUE,,,,66010,Guam,"{""66010"": 100}",Guam,66010,FALSE,FALSE,Pacific/Guam,5090.6558,SHEMYA ISLAND
96915,13.3782,144.70165,Santa Rita,GU,Guam,TRUE,,,,66010,Guam,"{""66010"": 100}",Guam,66010,FALSE,FALSE,Pacific/Guam,5089.538698,SHEMYA ISLAND
96910,13.45476,144.75089,Hagatna,GU,Guam,TRUE,,,,66010,Guam,"{""66010"": 100}",Guam,66010,FALSE,FALSE,Pacific/Guam,5079.583145,SHEMYA ISLAND
96932,13.47524,144.74216,Hagatna,GU,Guam,TRUE,,,,66010,Guam,"{""66010"": 100}",Guam,66010,FALSE,FALSE,Pacific/Guam,5077.903168,SHEMYA ISLAND
96921,13.45902,144.79397,Barrigada,GU,Guam,TRUE,,,,66010,Guam,"{""66010"": 100}",Guam,66010,FALSE,FALSE,Pacific/Guam,5077.219828,SHEMYA ISLAND
96913,13.47783,144.8146,Barrigada,GU,Guam,TRUE,,,,66010,Guam,"{""66010"": 100}",Guam,66010,FALSE,FALSE,Pacific/Guam,5074.391671,SHEMYA ISLAND
96929,13.5651,144.8762,Yigo,GU,Guam,TRUE,,,,66010,Guam,"{""66010"": 100}",Guam,66010,FALSE,FALSE,Pacific/Guam,5062.800218,SHEMYA ISLAND
96951,14.15733,145.2145,Rota,MP,Northern Mariana Islands,TRUE,,,,69100,Rota,"{""69100"": 100}",Rota,69100,FALSE,FALSE,Pacific/Saipan,4987.731652,SHEMYA ISLAND
96952,15.01312,145.63149,Tinian,MP,Northern Mariana Islands,TRUE,,,,69120,Tinian,"{""69120"": 100}",Tinian,69120,FALSE,FALSE,Pacific/Saipan,4882.530575,SHEMYA ISLAND
96950,15.18887,145.75356,Saipan,MP,Northern Mariana Islands,TRUE,,,,69110,Saipan,"{""69110"": 100}",Saipan,69110,FALSE,FALSE,Pacific/Saipan,4859.306367,SHEMYA ISLAND
96799,-14.21967,-170.3693,Pago Pago,AS,American Samoa,TRUE,,,,60050,Western,"{""60050"": 36.38, ""60010"": 32.64, ""60020"": 29.2, ""60040"": 1.78}",Western|Eastern|Manu'a|Swains Island,60050|60010|60020|60040,FALSE,FALSE,Pacific/Pago_Pago,3742.369692,SOUTHWEST HAWAII BUOY 51002
