zip,lat,lng,city,state_id,population,density,county_fips,timezone,zip0,EPW_file_name_2024,distance_location_station_miles_2024,weather_station_wmo_2024,hdd_base65F_2024,cdd_base65F_2024,Tdb_holes_2024,Tdew_holes_2024,RH_holes_2024,EnergyPlus Status,Missing Data,Extreme Temperature,Sudden Temp Jumps,Constant Temp Periods,Day-Night Swings,Summer Freezing,Winter Extreme Heat,Missing Temperature Data
99638,52.89995,-168.93738,Nikolski,AK,26,0.5,2016,America/Nome,99638,70489_2024.epw,120.74790384815157,70489,8660.0,0.0,True,True,True,Good,Good,Good,Good,Suspicious,Good,Good,Good,Good
99923,55.97796,-130.03671,Hyder,AK,15,0.4,2198,America/Sitka,99923,70395_2024.epw,78.54029766466617,70395,6657.0,11.0,False,False,False,Good,Good,Good,Suspicious,Suspicious,Suspicious,Good,Good,Good
99776,63.38825,-143.4114,Tanacross,AK,141,2.6,2240,America/Anchorage,99776,70267_2024.epw,82.26771989545445,70267,12556.0,90.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
99566,61.28097,-142.78996,Chitina,AK,98,0.0,2261,America/Anchorage,99566,70296_2024.epw,105.37948173141994,70296,8360.0,0.0,False,False,False,Good,Good,Good,Suspicious,Suspicious,Suspicious,Good,Good,Good
99780,63.19468,-143.07797,Tok,AK,1559,0.5,2240,America/Anchorage,99780,70267_2024.epw,98.31837767423856,70267,12556.0,90.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
89017,37.73096,-115.24786,Hiko,NV,102,0.1,32017,America/Los_Angeles,89017,72487_2024.epw,41.0006336344436,72487,4305.0,2063.0,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
59058,47.08099,-107.78958,Mosby,MT,29,0.0,30033,America/Denver,59058,KLWT0_2024.epw,78.96088252436711,KLWT0,7711.0,307.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
57651,45.5094,-103.1002,Reva,SD,129,0.2,46063,America/Denver,57651,KHEI0_2024.epw,40.96713558126607,KHEI0,7517.0,596.0,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
59324,45.78588,-104.5465,Ekalaka,MT,946,0.2,30011,America/Denver,59324,KBHK0_2024.epw,41.17908124409272,KBHK0,7524.0,623.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
86510,36.23729,-110.23069,Pinon,AZ,4693,2.4,4017,America/Denver,86510,72276_2024.epw,76.71913528153799,72276,6057.0,520.0,False,False,False,Good,Good,Good,Suspicious,Suspicious,Suspicious,Good,Good,Good
57720,45.56634,-103.61302,Buffalo,SD,726,0.2,46063,America/Denver,57720,KHEI0_2024.epw,55.55454973569379,KHEI0,7517.0,596.0,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
89043,38.25741,-114.47219,Pioche,NV,1317,0.3,32017,America/Los_Angeles,89043,72487_2024.epw,45.48735281916549,72487,4305.0,2063.0,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
89832,41.98653,-116.16574,Owyhee,NV,1351,3.9,32007,America/Los_Angeles,89832,KMUO0_2024.epw,74.54855867575961,KMUO0,5541.0,1197.0,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
99667,61.82399,-151.78293,Skwentna,AK,86,0.0,2170,America/Anchorage,99667,70251_2024.epw,64.22488565046835,70251,10348.0,16.0,False,False,False,Good,Good,Good,Suspicious,Suspicious,Suspicious,Good,Good,Good
57634,45.75269,-101.88428,Keldron,SD,183,0.3,46031,America/Denver,57634,KHEI0_2024.epw,41.3025753095092,KHEI0,7517.0,596.0,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
57724,45.64027,-104.02776,Camp Crook,SD,233,0.3,46063,America/Denver,57724,KBHK0_2024.epw,50.12061912494514,KBHK0,7524.0,623.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
86039,36.06276,-110.53209,Kykotsmovi Village,AZ,1273,1.7,4017,America/Denver,86039,72374_2024.epw,71.88186344142808,72374,4090.0,1855.0,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
85341,31.87377,-112.78476,Lukeville,AZ,0,0.0,4019,America/Phoenix,85341,KCGZ0_2024.epw,95.42082938303362,KCGZ0,1504.0,4401.0,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
99764,63.38147,-141.51133,Northway,AK,439,0.1,2240,America/Anchorage,99764,71966_2024.epw,86.62065480724118,71966,14319.0,49.0,False,False,False,Good,Good,Good,Suspicious,Good,Suspicious,Suspicious,Good,Good
79834,29.29122,-103.26531,Big Bend National Park,TX,213,0.1,48043,America/Chicago,79834,KPRS0_2024.epw,70.0727652557146,KPRS0,1116.0,4049.0,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
99774,66.01942,-149.0769,Stevens Village,AK,11,0.4,2290,America/Anchorage,99774,70174_2024.epw,90.73405241864889,70174,14477.0,70.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
86033,36.67265,-110.22883,Kayenta,AZ,7407,2.4,4017,America/Denver,86033,72276_2024.epw,95.88960064873424,72276,6057.0,520.0,False,False,False,Good,Good,Good,Suspicious,Suspicious,Suspicious,Good,Good,Good
59039,46.69466,-107.29021,Ingomar,MT,39,0.0,30087,America/Denver,59039,74230_2024.epw,69.23035646349926,74230,7027.0,823.0,False,False,False,Good,Good,Good,Suspicious,Suspicious,Suspicious,Good,Good,Good
59054,46.64222,-107.73319,Melstone,MT,250,0.1,30065,America/Denver,59054,72677_2024.epw,69.11866063253252,72677,6206.0,749.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
79233,34.52345,-100.52865,Estelline,TX,116,0.6,48191,America/Chicago,79233,KPVW0_2024.epw,72.1161159526793,KPVW0,3580.0,1654.0,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
57792,44.53919,-102.41636,White Owl,SD,176,0.3,46093,America/Denver,57792,KD070_2024.epw,39.45525524296917,KD070,7085.0,632.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
79236,33.64183,-100.22815,Guthrie,TX,210,0.2,48269,America/Chicago,79236,KSNK0_2024.epw,77.71423805615579,KSNK0,2350.0,2853.0,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
99746,65.57286,-158.11934,Huslia,AK,404,0.0,2290,America/Anchorage,99746,70222_2024.epw,67.45566798056645,70222,13660.0,39.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
79259,34.40293,-100.46298,Tell,TX,61,0.3,48075,America/Chicago,79259,72352_2024.epw,70.20307807704188,72352,2722.0,2837.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
79245,34.84545,-100.50845,Memphis,TX,2400,3.6,48191,America/Chicago,79245,72352_2024.epw,71.7777263746112,72352,2722.0,2837.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
99745,66.04309,-154.2477,Hughes,AK,90,8.6,2290,America/Anchorage,99745,70173_2024.epw,66.68925835727258,70173,14223.0,34.0,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
87821,33.97948,-108.05949,Datil,NM,589,0.1,35003,America/Denver,87821,72362_2024.epw,66.46758566796755,72362,3174.0,2084.0,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
59038,46.19039,-107.22703,Hysham,MT,652,0.3,30103,America/Denver,59038,74230_2024.epw,66.28844059962891,74230,7027.0,823.0,False,False,False,Good,Good,Good,Suspicious,Suspicious,Suspicious,Good,Good,Good
59317,45.36386,-105.49341,Broadus,MT,1084,0.2,30075,America/Denver,59317,72665_2024.epw,71.25872784027582,72665,6595.0,765.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Suspicious,Good,Good
87830,33.7196,-108.73952,Reserve,NM,1571,0.7,35003,America/Denver,87830,KSAD0_2024.epw,79.10873960718344,KSAD0,2279.0,3395.0,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
57638,45.8862,-102.21443,Lemmon,SD,1817,0.7,46105,America/Denver,57638,KHEI0_2024.epw,23.00102229712586,KHEI0,7517.0,596.0,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
99730,65.61511,-145.25129,Central,AK,49,0.0,2290,America/Anchorage,99730,70194_2024.epw,65.7499115070376,70194,15472.0,114.0,False,False,False,Good,Good,Good,Suspicious,Suspicious,Suspicious,Good,Good,Good
