zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,Distance [km],Distamce [mi],Location,zip0,weather_station_wmo_2022,hdd_base65F_2022,cdd_base65F_2022,distance_location_station_miles_2022,EPW_file_name_2022
99638,52.89995,-168.93738,Nikolski,AK,Alaska,TRUE,,26,0.5,2016,Aleutians West,"{""02016"": ""100""}",Aleutians West,2016,FALSE,FALSE,America/Nome,8.079798124,5.018508152,Nikolski,99638,70489,8284,0,120.7492874,70489_2022.epw
99923,55.97796,-130.03671,Hyder,AK,Alaska,TRUE,,15,0.4,2198,Prince of Wales-Hyder,"{""02198"": ""100""}",Prince of Wales-Hyder,2198,FALSE,FALSE,America/Sitka,126.3983959,78.50832044,Ketchikan International Airport,99923,RBJ9C,7718,0,114.9907347,RBJ9C_2022.epw
99776,63.38825,-143.4114,Tanacross,AK,Alaska,TRUE,,141,2.6,2240,Southeast Fairbanks,"{""02240"": ""100""}",Southeast Fairbanks,2240,FALSE,FALSE,America/Anchorage,78.12475786,48.52469432,Slana,99776,CYXQ0,14216,10,104.759722,CYXQ0_2022.epw
99566,61.28097,-142.78996,Chitina,AK,Alaska,TRUE,,98,0,2261,Valdez-Cordova,"{""02261"": ""100""}",Valdez-Cordova,2261,FALSE,FALSE,America/Anchorage,18.58167911,11.5414156,McCarthy,99566,CYXQ0,14216,10,100.0760514,CYXQ0_2022.epw
99780,63.19468,-143.07797,Tok,AK,Alaska,TRUE,,1559,0.5,2240,Southeast Fairbanks,"{""02240"": ""93.62"", ""02261"": ""6.38""}",Southeast Fairbanks|Valdez-Cordova,02240|02261,FALSE,FALSE,America/Anchorage,67.42432292,41.87846144,Slana,99780,CYXQ0,14216,10,88.36734438,CYXQ0_2022.epw
89017,37.73096,-115.24786,Hiko,NV,Nevada,TRUE,,102,0.1,32017,Lincoln,"{""32017"": ""100""}",Lincoln,32017,FALSE,FALSE,America/Los_Angeles,65.98414415,40.98394047,Caliente,89017,74614,3249,2749,82.58235629,74614_2022.epw
59058,47.08099,-107.78958,Mosby,MT,Montana,TRUE,,29,0,30033,Garfield,"{""30033"": ""100""}",Garfield,30033,FALSE,FALSE,America/Denver,68.96005277,42.83233091,Jordan,59058,KLWT0,8529,430,78.96178725,KLWT0_2022.epw
57651,45.5094,-103.1002,Reva,SD,South Dakota,TRUE,,129,0.2,46063,Harding,"{""46063"": ""100""}",Harding,46063,FALSE,FALSE,America/Denver,36.31103528,22.55343806,Buffalo,57651,KSPF0,7509,722,78.55406171,KSPF0_2022.epw
59324,45.78588,-104.5465,Ekalaka,MT,Montana,TRUE,,946,0.2,30011,Carter,"{""30011"": ""100""}",Carter,30011,FALSE,FALSE,America/Denver,66.27132783,41.16231542,Baker,59324,KW430,7846,704,77.59820889,KW430_2022.epw
86510,36.23729,-110.23069,Pinon,AZ,Arizona,TRUE,,4693,2.4,4017,Navajo,"{""04017"": ""99.7"", ""04001"": ""0.3""}",Navajo|Apache,04017|04001,FALSE,FALSE,America/Denver,123.4675182,76.68789953,Window Rock Airport,86510,72276,5901,618,76.72001432,72276_2022.epw
57720,45.56634,-103.61302,Buffalo,SD,South Dakota,TRUE,,726,0.2,46063,Harding,"{""46063"": ""100""}",Harding,46063,FALSE,FALSE,America/Denver,6.692359556,4.156745066,Buffalo,57720,KSPF0,7509,722,75.4579865,KSPF0_2022.epw
89043,38.25741,-114.47219,Pioche,NV,Nevada,TRUE,,1317,0.3,32017,Lincoln,"{""32017"": ""100""}",Lincoln,32017,FALSE,FALSE,America/Los_Angeles,73.20482098,45.46883291,Caliente,89043,72486,7356,577,74.8558693,72486_2022.epw
89832,41.98653,-116.16574,Owyhee,NV,Nevada,TRUE,,1351,3.9,32007,Elko,"{""32007"": ""72.7"", ""16073"": ""27.3""}",Elko|Owyhee,32007|16073,FALSE,FALSE,America/Los_Angeles,119.9743127,74.51820667,Mountain Home / Mountain Home Air Force Base,89832,KMUO0,6588,1198,74.54941285,KMUO0_2022.epw
99667,61.82399,-151.78293,Skwentna,AK,Alaska,TRUE,,86,0,2170,Matanuska-Susitna,"{""02170"": ""100""}",Matanuska-Susitna,2170,FALSE,FALSE,America/Anchorage,23.6901832,14.7143995,Hayes River / Skwentna,99667,70273,9395,7,73.41838928,70273_2022.epw
57634,45.75269,-101.88428,Keldron,SD,South Dakota,TRUE,,183,0.3,46031,Corson,"{""46031"": ""100""}",Corson,46031,FALSE,FALSE,America/Denver,25.22563207,15.66809445,Lemmon,57634,KMBG0,8017,946,72.79560747,KMBG0_2022.epw
57724,45.64027,-104.02776,Camp Crook,SD,South Dakota,TRUE,,233,0.3,46063,Harding,"{""46063"": ""83.81"", ""30011"": ""16.19""}",Harding|Carter,46063|30011,FALSE,FALSE,America/Denver,37.64625149,23.3827649,Buffalo,57724,KW430,7846,704,72.47596412,KW430_2022.epw
86039,36.06276,-110.53209,Kykotsmovi Village,AZ,Arizona,TRUE,,1273,1.7,4017,Navajo,"{""04017"": ""100""}",Navajo,4017,FALSE,FALSE,America/Denver,115.6826814,71.85259716,Winslow Municipal Airport,86039,72374,4497,1530,71.88268706,72374_2022.epw
85341,31.87377,-112.78476,Lukeville,AZ,Arizona,TRUE,,0,0,4019,Pima,"{""04019"": ""100""}",Pima,4019,FALSE,FALSE,America/Phoenix,62.94578303,39.09675964,Gila Bend U. S. Army Airfield,85341,KGXF0,1339,4587,70.14492306,KGXF0_2022.epw
99764,63.38147,-141.51133,Northway,AK,Alaska,TRUE,,439,0.1,2240,Southeast Fairbanks,"{""02240"": ""100""}",Southeast Fairbanks,2240,FALSE,FALSE,America/Anchorage,132.3628198,82.21293155,Nabesna,99764,CYXQ0,14216,10,70.09526953,CYXQ0_2022.epw
79834,29.29122,-103.26531,Big Bend National Park,TX,Texas,TRUE,,213,0.1,48043,Brewster,"{""48043"": ""100""}",Brewster,48043,FALSE,FALSE,America/Chicago,40.81129518,25.34863054,Lajitas International Airport,79834,KPRS0,1587,3592,70.07356814,KPRS0_2022.epw
99774,66.01942,-149.0769,Stevens Village,AK,Alaska,TRUE,,11,0.4,2290,Yukon-Koyukuk,"{""02290"": ""100""}",Yukon-Koyukuk,2290,FALSE,FALSE,America/Anchorage,112.5365787,69.89849609,Prospect Creek / Coldfoot,99774,PAPR0,14647,31,69.92776766,PAPR0_2022.epw
86033,36.67265,-110.22883,Kayenta,AZ,Arizona,TRUE,,7407,2.4,4017,Navajo,"{""04017"": ""97.57"", ""04001"": ""2.43""}",Navajo|Apache,04017|04001,FALSE,FALSE,America/Denver,112.5211642,69.88892184,Page Municipal Airport,86033,72371,3838,2432,69.9181894,72371_2022.epw
59039,46.69466,-107.29021,Ingomar,MT,Montana,TRUE,,39,0,30087,Rosebud,"{""30087"": ""100""}",Rosebud,30087,FALSE,FALSE,America/Denver,75.00215127,46.58518713,Jordan,59039,74230,8109,938,69.2311497,74230_2022.epw
59054,46.64222,-107.73319,Melstone,MT,Montana,TRUE,,250,0.1,30065,Musselshell,"{""30065"": ""75.24"", ""30087"": ""24.76""}",Musselshell|Rosebud,30065|30087,FALSE,FALSE,America/Denver,94.2681077,58.55161969,N Bar Ranch Airport,59054,72677,7278,865,69.11945259,72677_2022.epw
79233,34.52345,-100.52865,Estelline,TX,Texas,TRUE,,116,0.6,48191,Hall,"{""48191"": ""100""}",Hall,48191,FALSE,FALSE,America/Chicago,24.89251661,15.46119044,Childress Municipal Airport,79233,KAXS0,3362,3016,68.7548017,KAXS0_2022.epw
57792,44.53919,-102.41636,White Owl,SD,South Dakota,TRUE,,176,0.3,46093,Meade,"{""46093"": ""100""}",Meade,46093,FALSE,FALSE,America/Denver,63.49709794,39.43919127,Faith,57792,KSPF0,7509,722,67.60447278,KSPF0_2022.epw
79236,33.64183,-100.22815,Guthrie,TX,Texas,TRUE,,210,0.2,48269,King,"{""48269"": ""100""}",King,48269,FALSE,FALSE,America/Chicago,87.51019627,54.35415917,Childress Municipal Airport,79236,KF050,3071,3192,67.5183205,KF050_2022.epw
99746,65.57286,-158.11934,Huslia,AK,Alaska,TRUE,,404,0,2290,Yukon-Koyukuk,"{""02290"": ""100""}",Yukon-Koyukuk,2290,FALSE,FALSE,America/Anchorage,82.28697057,51.10991961,Huslia Airport,99746,70222,13748,23,67.45644088,70222_2022.epw
79259,34.40293,-100.46298,Tell,TX,Texas,TRUE,,61,0.3,48075,Childress,"{""48075"": ""66.67"", ""48191"": ""33.33""}",Childress|Hall,48075|48191,FALSE,FALSE,America/Chicago,16.70725238,10.37717539,Childress Municipal Airport,79259,KAXS0,3362,3016,67.176909,KAXS0_2022.epw
79245,34.84545,-100.50845,Memphis,TX,Texas,TRUE,,2400,3.6,48191,Hall,"{""48191"": ""97.21"", ""48087"": ""1.9"", ""48129"": ""0.89""}",Hall|Collingsworth|Donley,48191|48087|48129,FALSE,FALSE,America/Chicago,50.83427063,31.57408114,Childress Municipal Airport,79245,KAXS0,3362,3016,67.16961868,KAXS0_2022.epw
99745,66.04309,-154.2477,Hughes,AK,Alaska,TRUE,,90,8.6,2290,Yukon-Koyukuk,"{""02290"": ""100""}",Yukon-Koyukuk,2290,FALSE,FALSE,America/Anchorage,103.0409893,64.0006145,Huslia Airport,99745,70173,13954,24,66.69002248,70173_2022.epw
87821,33.97948,-108.05949,Datil,NM,New Mexico,TRUE,,589,0.1,35003,Catron,"{""35003"": ""100""}",Catron,35003,FALSE,FALSE,America/Denver,106.9692433,66.44052378,Socorro Municipal,87821,72362,3861,1642,66.46834725,72362_2022.epw
59038,46.19039,-107.22703,Hysham,MT,Montana,TRUE,,652,0.3,30103,Treasure,"{""30103"": ""96.19"", ""30003"": ""3.81""}",Treasure|Big Horn,30103|30003,FALSE,FALSE,America/Denver,59.84304856,37.16959538,Big Horn County Airport,59038,74230,8109,938,66.28920013,74230_2022.epw
59317,45.36386,-105.49341,Broadus,MT,Montana,TRUE,,1084,0.2,30075,Powder River,"{""30075"": ""100""}",Powder River,30075,FALSE,FALSE,America/Denver,106.6251943,66.22682874,Hulett Muni,59317,KW430,7846,704,66.25456272,KW430_2022.epw
87830,33.7196,-108.73952,Reserve,NM,New Mexico,TRUE,,1571,0.7,35003,Catron,"{""35003"": ""100""}",Catron,35003,FALSE,FALSE,America/Denver,69.68287893,43.28129126,Springerville Municipal Airport,87830,KSJN0,4855,1117,66.2150639,KSJN0_2022.epw
57638,45.8862,-102.21443,Lemmon,SD,South Dakota,TRUE,,1817,0.7,46105,Perkins,"{""46105"": ""85.94"", ""38001"": ""10.36"", ""38085"": ""1.46"", ""46031"": ""1.25"", ""38037"": ""0.99""}",Perkins|Adams|Sioux|Corson|Grant,46105|38001|38085|46031|38037,FALSE,FALSE,America/Denver,9.121133297,5.665300184,Lemmon,57638,KD570,9393,438,66.21388295,KD570_2022.epw
99730,65.61511,-145.25129,Central,AK,Alaska,TRUE,,49,0,2290,Yukon-Koyukuk,"{""02290"": ""100""}",Yukon-Koyukuk,2290,FALSE,FALSE,America/Anchorage,22.09238316,13.72197712,Central,99730,70194,15298,78,65.75066486,70194_2022.epw
79539,33.36843,-99.88223,O'Brien,TX,Texas,TRUE,,169,1.7,48207,Haskell,"{""48207"": ""100""}",Haskell,48207,FALSE,FALSE,America/Chicago,105.5125831,65.53576592,Abilene / Tye,79539,69019,2817,3256,65.5632105,69019_2022.epw
79229,33.66676,-100.67825,Dickens,TX,Texas,TRUE,,401,0.7,48125,Dickens,"{""48125"": ""100""}",Dickens,48125,FALSE,FALSE,America/Chicago,92.08469606,57.19546339,Childress Municipal Airport,79229,72267,3535,2447,65.4666552,72267_2022.epw
86030,35.9762,-110.71337,Hotevilla,AZ,Arizona,TRUE,,1531,2.5,4017,Navajo,"{""04017"": ""99.78"", ""04005"": ""0.22""}",Navajo|Coconino,04017|04005,FALSE,FALSE,America/Phoenix,104.8461296,65.12181964,Winslow Municipal Airport,86030,72374,4497,1530,65.14909087,72374_2022.epw
89831,41.73253,-116.11224,Mountain City,NV,Nevada,TRUE,,0,0,32007,Elko,"{""32007"": ""100""}",Elko,32007,FALSE,FALSE,America/Los_Angeles,104.4176334,64.85567293,Elko / Coin,89831,70580,6967,886,64.88283271,70580_2022.epw
79237,34.91339,-100.63784,Hedley,TX,Texas,TRUE,,403,0.8,48129,Donley,"{""48129"": ""100""}",Donley,48129,FALSE,FALSE,America/Chicago,63.01042343,39.13690896,Childress Municipal Airport,79237,72363,4208,1969,64.51173842,72363_2022.epw
59546,47.76973,-108.59198,Zortman,MT,Montana,TRUE,,87,0.1,30071,Phillips,"{""30071"": ""100""}",Phillips,30071,FALSE,FALSE,America/Denver,57.12121892,35.47901796,Roy,59546,KS710,8213,638,64.41455149,KS710_2022.epw
79251,34.92884,-100.4389,Quail,TX,Texas,TRUE,,15,0.1,48087,Collingsworth,"{""48087"": ""100""}",Collingsworth,48087,FALSE,FALSE,America/Chicago,57.53358467,35.73514576,Childress Municipal Airport,79251,KAXS0,3362,3016,64.41383173,KAXS0_2022.epw
87820,33.89521,-108.54735,Aragon,NM,New Mexico,TRUE,,106,0.3,35003,Catron,"{""35003"": ""100""}",Catron,35003,FALSE,FALSE,America/Denver,75.04046404,46.60898388,Springerville Municipal Airport,87820,KSJN0,4855,1117,64.12395904,KSJN0_2022.epw
79239,34.65106,-100.75781,Lakeview,TX,Texas,TRUE,,206,0.4,48191,Hall,"{""48191"": ""100""}",Hall,48191,FALSE,FALSE,America/Chicago,50.06971408,31.09920129,Childress Municipal Airport,79239,KPVW0,4229,1798,64.07013667,KPVW0_2022.epw
86547,36.50412,-109.49668,Round Rock,AZ,Arizona,TRUE,,1232,3.7,4001,Apache,"{""04001"": ""100""}",Apache,4001,FALSE,FALSE,America/Denver,102.5338875,63.6856444,Window Rock Airport,86547,72276,5901,618,63.7123142,72276_2022.epw
89404,41.88683,-118.70584,Denio,NV,Nevada,TRUE,,28,0,32013,Humboldt,"{""32013"": ""100""}",Humboldt,32013,FALSE,FALSE,America/Los_Angeles,102.2938452,63.53654983,Rome / Basque,89404,KREO0,6335,1155,63.56315719,KREO0_2022.epw
88426,35.53808,-103.51084,Logan,NM,New Mexico,TRUE,,981,0.5,35037,Quay,"{""35037"": ""92.41"", ""35021"": ""7.59""}",Quay|Harding,35037|35021,FALSE,FALSE,America/Denver,40.60031265,25.2175855,Tucumcari Municipal Airport,88426,74736,4825,1651,63.543208,74736_2022.epw
82732,43.70242,-105.62088,Wright,WY,Wyoming,TRUE,,1823,6.5,56005,Campbell,"{""56005"": ""100""}",Campbell,56005,FALSE,FALSE,America/Denver,70.37923551,43.71381087,Gillette-Campbell Cty Airport,82732,72568,7552,736,63.48778954,72568_2022.epw
79529,33.43853,-99.84731,Knox City,TX,Texas,TRUE,,1476,6.4,48275,Knox,"{""48275"": ""99.64"", ""48207"": ""0.36""}",Knox|Haskell,48275|48207,FALSE,FALSE,America/Chicago,101.839992,63.2546534,Vernon / Hinds,79529,KF050,3071,3192,63.28114271,KF050_2022.epw
86045,36.05915,-111.12132,Tuba City,AZ,Arizona,TRUE,,11634,3.3,4005,Coconino,"{""04005"": ""100""}",Coconino,4005,FALSE,FALSE,America/Phoenix,90.68189127,56.32415607,Grand Canyon Park,86045,72371,3838,2432,63.09729265,72371_2022.epw
97641,43.26455,-120.51876,Christmas Valley,OR,Oregon,TRUE,,1286,0.8,41037,Lake,"{""41037"": ""100""}",Lake,41037,FALSE,FALSE,America/Los_Angeles,101.4549643,63.0155058,Sunriver,97641,KS210,7936,121,63.04189496,KS210_2022.epw
86435,36.05405,-112.90194,Supai,AZ,Arizona,TRUE,,15,0,4005,Coconino,"{""04005"": ""100""}",Coconino,4005,FALSE,FALSE,America/Phoenix,68.22772997,42.37747203,Grand Canyon National Park Airport,86435,KAZC0,4789,1436,62.89696869,KAZC0_2022.epw
59645,46.68044,-111.04716,White Sulphur Springs,MT,Montana,TRUE,,1717,0.4,30059,Meagher,"{""30059"": ""100""}",Meagher,30059,FALSE,FALSE,America/Denver,70.76838972,43.95552156,Helena Regional Airport,59645,KBZN0,8794,462,62.58184451,KBZN0_2022.epw
99740,67.53438,-143.74514,Fort Yukon,AK,Alaska,TRUE,,533,0,2290,Yukon-Koyukuk,"{""02290"": ""100""}",Yukon-Koyukuk,2290,FALSE,FALSE,America/Anchorage,100.4441713,62.38768404,Arctic Village,99740,PARC0,17090,16,62.41381029,PARC0_2022.epw
84313,41.65759,-113.96194,Grouse Creek,UT,Utah,TRUE,,89,0.1,49003,Box Elder,"{""49003"": ""100""}",Box Elder,49003,FALSE,FALSE,America/Denver,99.65494317,61.89748023,Burley / Heyburn,84313,KBYI0,7155,680,61.9234012,KBYI0_2022.epw
89826,41.8873,-115.38128,Jarbidge,NV,Nevada,TRUE,,0,0,32007,Elko,"{""32007"": ""100""}",Elko,32007,FALSE,FALSE,America/Los_Angeles,98.94040864,61.45366996,Twin Falls / Berger,89826,KTWF0,6907,1022,61.47940507,KTWF0_2022.epw
99733,65.79284,-144.18283,Circle,AK,Alaska,TRUE,,74,0.3,2290,Yukon-Koyukuk,"{""02290"": ""100""}",Yukon-Koyukuk,2290,FALSE,FALSE,America/Anchorage,36.6409298,22.75834149,Central,99733,70194,15298,78,61.42864241,70194_2022.epw
99691,62.8638,-153.66044,Nikolai,AK,Alaska,TRUE,,114,0,2290,Yukon-Koyukuk,"{""02290"": ""100""}",Yukon-Koyukuk,2290,FALSE,FALSE,America/Anchorage,35.77927507,22.22315221,Farewell Lake / Nikolai,99691,70231,13093,22,61.32172096,70231_2022.epw
88040,31.61683,-108.43763,Hachita,NM,New Mexico,TRUE,,105,0,35017,Grant,"{""35017"": ""63.79"", ""35023"": ""36.21""}",Grant|Hidalgo,35017|35023,FALSE,FALSE,America/Denver,83.21543714,51.68660692,Lordsburg,88040,KDMN0,3182,2076,61.2902079,KDMN0_2022.epw
59003,45.46675,-106.19541,Ashland,MT,Montana,TRUE,,1343,0.8,30087,Rosebud,"{""30087"": ""85.26"", ""30075"": ""14.74""}",Rosebud|Powder River,30087|30075,FALSE,FALSE,America/Denver,98.59956632,61.24196666,Sheridan County Airport,59003,72666,7762,741,61.26761312,72666_2022.epw
57547,43.47547,-101.42936,Long Valley,SD,South Dakota,TRUE,,133,0.2,46071,Jackson,"{""46071"": ""100""}",Jackson,46071,FALSE,FALSE,America/Denver,65.17063247,40.47865371,Philip,57547,72567,6957,1156,61.09600715,72567_2022.epw
86545,36.70591,-109.60744,Rock Point,AZ,Arizona,TRUE,,1373,1.6,4001,Apache,"{""04001"": ""100""}",Apache,4001,FALSE,FALSE,America/Denver,98.17980169,60.98124328,Blanding,86545,KBDG0,5639,1067,61.00678056,KBDG0_2022.epw
70091,29.21349,-89.28346,Venice,LA,Louisiana,TRUE,,332,0.6,22075,Plaquemines,"{""22075"": ""100""}",Plaquemines,22075,FALSE,FALSE,America/Chicago,17.47164238,10.85195179,Boothville,70091,KGAO0,1155,3217,60.95519779,KGAO0_2022.epw
79544,33.30151,-99.85288,Rochester,TX,Texas,TRUE,,567,2.7,48207,Haskell,"{""48207"": ""100""}",Haskell,48207,FALSE,FALSE,America/Chicago,98.0419613,60.89562814,Abilene / Tye,79544,69019,2817,3256,60.92112955,69019_2022.epw
59010,45.99697,-107.30997,Bighorn,MT,Montana,TRUE,,139,0.2,30103,Treasure,"{""30103"": ""52.94"", ""30003"": ""47.06""}",Treasure|Big Horn,30103|30003,FALSE,FALSE,America/Denver,39.0491916,24.25415627,Big Horn County Airport,59010,72677,7278,865,60.90415358,72677_2022.epw
99767,65.50221,-150.15117,Rampart,AK,Alaska,TRUE,,60,12,2290,Yukon-Koyukuk,"{""02290"": ""100""}",Yukon-Koyukuk,2290,FALSE,FALSE,America/Anchorage,60.62068944,37.65260214,Manley Hot Springs,99767,70178,13798,22,60.78400794,70178_2022.epw
85357,33.97768,-113.50324,Wenden,AZ,Arizona,TRUE,,342,0.2,4012,La Paz,"{""04012"": ""100""}",La Paz,4012,FALSE,FALSE,America/Phoenix,97.73816476,60.70693463,Buckeye / Conger,85357,KBXK0,1471,4180,60.73235703,KBXK0_2022.epw
83244,43.95954,-113.11644,Howe,ID,Idaho,TRUE,,328,0.2,16023,Butte,"{""16023"": ""100""}",Butte,16023,FALSE,FALSE,America/Boise,97.54384045,60.5862363,Idaho Falls / Orvin,83244,KIDA0,8194,637,60.61160816,KIDA0_2022.epw
89042,37.74396,-114.32223,Panaca,NV,Nevada,TRUE,,990,2.7,32017,Lincoln,"{""32017"": ""100""}",Lincoln,32017,FALSE,FALSE,America/Los_Angeles,23.43499409,14.55589695,Caliente,89042,KSGU0,3255,2916,60.32282587,KSGU0_2022.epw
86034,35.79022,-110.12806,Keams Canyon,AZ,Arizona,TRUE,,1927,1.5,4017,Navajo,"{""04017"": ""83.84"", ""04001"": ""16.16""}",Navajo|Apache,04017|04001,FALSE,FALSE,America/Denver,97.07595168,60.29562216,Window Rock Airport,86034,72276,5901,618,60.32087231,72276_2022.epw
86042,35.86169,-110.38752,Polacca,AZ,Arizona,TRUE,,2181,11.9,4017,Navajo,"{""04017"": ""100""}",Navajo,4017,FALSE,FALSE,America/Phoenix,96.81876805,60.13588077,Winslow Municipal Airport,86042,72374,4497,1530,60.16106403,72374_2022.epw
59465,46.89031,-110.72027,Neihart,MT,Montana,TRUE,,40,0.4,30013,Cascade,"{""30013"": ""100""}",Cascade,30013,FALSE,FALSE,America/Denver,45.83217029,28.46718651,Windham,59465,KLWT0,8529,430,60.11568187,KLWT0_2022.epw
86538,36.40507,-109.59933,Many Farms,AZ,Arizona,TRUE,,2026,3.9,4001,Apache,"{""04001"": ""100""}",Apache,4001,FALSE,FALSE,America/Denver,96.66122045,60.03802512,Window Rock Airport,86538,72276,5901,618,60.0631674,72276_2022.epw
99519,68.93806,-146.32364,Anchorage,AK,Alaska,TRUE,,469,0,2185,North Slope,"{""02185"": ""100""}",North Slope,2185,FALSE,FALSE,America/Anchorage,96.43373726,59.89673122,Arctic Village,99519,PARC0,17090,16,59.92181432,PARC0_2022.epw
79248,34.00045,-100.29274,Paducah,TX,Texas,TRUE,,1597,1,48101,Cottle,"{""48101"": ""98.39"", ""48269"": ""1.61""}",Cottle|King,48101|48269,FALSE,FALSE,America/Chicago,47.4937263,29.49920888,Childress Municipal Airport,79248,KF050,3071,3192,59.783408,KF050_2022.epw
76388,33.32169,-99.63091,Weinert,TX,Texas,TRUE,,255,1,48207,Haskell,"{""48207"": ""100""}",Haskell,48207,FALSE,FALSE,America/Chicago,96.15222878,59.72188123,Breckenridge / South Hanlon,76388,KBKD0,2424,3539,59.74689111,KBKD0_2022.epw
79220,33.75776,-100.78642,Afton,TX,Texas,TRUE,,225,0.5,48125,Dickens,"{""48125"": ""100""}",Dickens,48125,FALSE,FALSE,America/Chicago,87.70621637,54.47591079,Childress Municipal Airport,79220,72267,3535,2447,59.54832784,72267_2022.epw
88039,33.34884,-108.72204,Glenwood,NM,New Mexico,TRUE,,333,0.2,35003,Catron,"{""35003"": ""100""}",Catron,35003,FALSE,FALSE,America/Denver,95.79556104,59.50034847,Silver City / Grant,88039,72272,3762,1520,59.52526558,72272_2022.epw
36569,31.5425,-88.08932,Saint Stephens,AL,Alabama,TRUE,,648,4,1129,Washington,"{""01129"": ""100""}",Washington,1129,FALSE,FALSE,America/Chicago,79.03365506,49.08922675,Bay Minette Municipal Airport,36569,72223,1673,2685,59.38072346,72223_2022.epw
59087,47.13236,-108.21161,Winnett,MT,Montana,TRUE,,371,0.1,30069,Petroleum,"{""30069"": ""100""}",Petroleum,30069,FALSE,FALSE,America/Denver,55.23267989,34.30601235,Roy,59087,KLWT0,8529,430,59.31941696,KLWT0_2022.epw
86535,36.78066,-109.85989,Dennehotso,AZ,Arizona,TRUE,,1298,1.8,4001,Apache,"{""04001"": ""100""}",Apache,4001,FALSE,FALSE,America/Denver,95.28107095,59.18078941,Blanding,86535,KBDG0,5639,1067,59.2055727,KBDG0_2022.epw
