zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,Location,zip0,Do we have data for 2022?,weather_station_wmo_2022,hdd_base65F_2022,cdd_base65F_2022,distance_location_station_miles_2022
89017,37.73096,-115.24786,Hiko,NV,Nevada,TRUE,,102,0.1,32017,Lincoln,"{""32017"": ""100""}",Lincoln,32017,FALSE,FALSE,America/Los_Angeles,Caliente,89017,TRUE,KSGU0,3255,2916,101.0181281
99743,63.7838,-150.12799,Healy,AK,Alaska,TRUE,,1041,0.1,2068,Denali,"{""02068"": ""100""}",Denali,2068,FALSE,FALSE,America/Anchorage,Healy River,99743,TRUE,70261,13057,83,97.57709476
89001,37.27386,-115.39051,Alamo,NV,Nevada,TRUE,,1441,0.3,32017,Lincoln,"{""32017"": ""99.84"", ""32023"": ""0.16""}",Lincoln|Nye,32017|32023,FALSE,FALSE,America/Los_Angeles,Nevada Test Site / Sugar Bunker,89001,TRUE,KBVU0,2069,3739,96.23199196
84631,38.95992,-112.38345,Fillmore,UT,Utah,TRUE,,3066,7.2,49027,Millard,"{""49027"": ""100""}",Millard,49027,FALSE,FALSE,America/Denver,Delta,84631,TRUE,KPVU0,6112,1202,93.83786926
57702,44.03379,-103.39048,Rapid City,SD,South Dakota,TRUE,,34801,46,46103,Pennington,"{""46103"": ""98.6"", ""46093"": ""1.4""}",Pennington|Meade,46103|46093,FALSE,FALSE,America/Denver,Ellsworth Air Force Base,57702,TRUE,KPHP0,7508,1029,88.97769535
99780,63.19468,-143.07797,Tok,AK,Alaska,TRUE,,1559,0.5,2240,Southeast Fairbanks,"{""02240"": ""93.62"", ""02261"": ""6.38""}",Southeast Fairbanks|Valdez-Cordova,02240|02261,FALSE,FALSE,America/Anchorage,Slana,99780,TRUE,CYXQ0,14216,10,88.36734438
87008,35.14572,-106.3918,Cedar Crest,NM,New Mexico,TRUE,,2550,34.8,35001,Bernalillo,"{""35001"": ""100""}",Bernalillo,35001,FALSE,FALSE,America/Denver,Albuquerque / Edith Endave,87008,TRUE,KGNT0,6014,454,85.32920878
59032,47.0227,-108.74436,Grass Range,MT,Montana,TRUE,,474,0.4,30027,Fergus,"{""30027"": ""96.08"", ""30069"": ""3.92""}",Fergus|Petroleum,30027|30069,FALSE,FALSE,America/Denver,N Bar Ranch Airport,59032,TRUE,72677,7278,865,83.84007914
99585,61.9287,-162.26794,Marshall,AK,Alaska,TRUE,,299,2.3,2158,Kusilvak,"{""02158"": 100}",Kusilvak,2158,FALSE,FALSE,America/Nome,Marshall,99585,TRUE,PANV0,12447,28,83.19470433
99776,63.38825,-143.4114,Tanacross,AK,Alaska,TRUE,,141,2.6,2240,Southeast Fairbanks,"{""02240"": ""100""}",Southeast Fairbanks,2240,FALSE,FALSE,America/Anchorage,Slana,99776,TRUE,70267,12650,65,82.26866251
84624,39.40755,-112.83985,Delta,UT,Utah,TRUE,,5723,4.5,49027,Millard,"{""49027"": ""100""}",Millard,49027,FALSE,FALSE,America/Denver,Delta,84624,TRUE,KPVU0,6112,1202,81.58305046
84636,39.14063,-112.33894,Holden,UT,Utah,TRUE,,490,2.9,49027,Millard,"{""49027"": ""100""}",Millard,49027,FALSE,FALSE,America/Denver,Delta,84636,TRUE,KPVU0,6112,1202,81.39378051
57701,44.14153,-103.20508,Rapid City,SD,South Dakota,TRUE,,45670,249,46103,Pennington,"{""46103"": ""97.46"", ""46093"": ""2.54""}",Pennington|Meade,46103|46093,FALSE,FALSE,America/Denver,Ellsworth Air Force Base,57701,TRUE,KPHP0,7508,1029,79.94958511
79834,29.29122,-103.26531,Big Bend National Park,TX,Texas,TRUE,,213,0.1,48043,Brewster,"{""48043"": ""100""}",Brewster,48043,FALSE,FALSE,America/Chicago,Lajitas International Airport,79834,TRUE,KE380,2632,2006,79.57079986
84620,38.91484,-111.92771,Aurora,UT,Utah,TRUE,,923,22.1,49041,Sevier,"{""49041"": ""100""}",Sevier,49041,FALSE,FALSE,America/Denver,Manti-Ephraim Airport,84620,TRUE,72470,6461,1024,79.50183252
48001,42.63776,-82.5796,Algonac,MI,Michigan,TRUE,,11885,241.1,26147,St. Clair,"{""26147"": ""100""}",St. Clair,26147,FALSE,FALSE,America/Detroit,Selfridge Air National Guard Base,48001,TRUE,KPCW0,5880,956,78.89953861
99923,55.97796,-130.03671,Hyder,AK,Alaska,TRUE,,15,0.4,2198,Prince of Wales-Hyder,"{""02198"": ""100""}",Prince of Wales-Hyder,2198,FALSE,FALSE,America/Sitka,Ketchikan International Airport,99923,TRUE,70395,6879,17,78.54119757
99729,63.18325,-148.50259,Cantwell,AK,Alaska,TRUE,,202,0.1,2068,Denali,"{""02068"": ""94.81"", ""02170"": ""5.19""}",Denali|Matanuska-Susitna,02068|02170,FALSE,FALSE,America/Anchorage,Cantwell,99729,TRUE,70251,9995,25,78.34554216
84635,39.40218,-112.72509,Hinckley,UT,Utah,TRUE,,732,7.5,49027,Millard,"{""49027"": ""100""}",Millard,49027,FALSE,FALSE,America/Denver,Delta,84635,TRUE,KPVU0,6112,1202,77.5442857
59418,46.79849,-109.91236,Buffalo,MT,Montana,TRUE,,182,0.7,30045,Judith Basin,"{""30045"": ""77.89"", ""30027"": ""22.11""}",Judith Basin|Fergus,30045|30027,FALSE,FALSE,America/Denver,Lima - Judith Gap,59418,TRUE,KGFA0,7993,609,77.26271306
86510,36.23729,-110.23069,Pinon,AZ,Arizona,TRUE,,4693,2.4,4017,Navajo,"{""04017"": ""99.7"", ""04001"": ""0.3""}",Navajo|Apache,04017|04001,FALSE,FALSE,America/Denver,Window Rock Airport,86510,TRUE,72276,5901,618,76.72001432
87006,34.49195,-106.84311,Bosque,NM,New Mexico,TRUE,,1324,8.9,35053,Socorro,"{""35053"": ""59.6"", ""35061"": ""40.4""}",Socorro|Valencia,35053|35061,FALSE,FALSE,America/Denver,Belen Regional Airport,87006,TRUE,KGNT0,6014,454,76.05719742
59453,46.64953,-109.63272,Judith Gap,MT,Montana,TRUE,,285,0.2,30107,Wheatland,"{""30107"": ""76.52"", ""30045"": ""4.7"", ""30027"": ""18.78""}",Wheatland|Judith Basin|Fergus,30107|30045|30027,FALSE,FALSE,America/Denver,Lima - Judith Gap,59453,TRUE,72273,2471,1773,75.52639203
59441,46.85917,-108.98017,Forest Grove,MT,Montana,TRUE,,59,0.1,30027,Fergus,"{""30027"": ""100""}",Fergus,30027,FALSE,FALSE,America/Denver,N Bar Ranch Airport,59441,TRUE,72677,7278,865,74.89419419
89043,38.25741,-114.47219,Pioche,NV,Nevada,TRUE,,1317,0.3,32017,Lincoln,"{""32017"": ""100""}",Lincoln,32017,FALSE,FALSE,America/Los_Angeles,Caliente,89043,TRUE,72486,7356,577,74.8558693
57717,44.9518,-103.88836,Belle Fourche,SD,South Dakota,TRUE,,8000,2.5,46019,Butte,"{""46019"": ""98.5"", ""56011"": ""0.87"", ""46081"": ""0.39"", ""46063"": ""0.24""}",Butte|Crook|Lawrence|Harding,46019|56011|46081|46063,FALSE,FALSE,America/Denver,Belle Fourche,57717,TRUE,72662,7538,843,74.76087133
89832,41.98653,-116.16574,Owyhee,NV,Nevada,TRUE,,1351,3.9,32007,Elko,"{""32007"": ""72.7"", ""16073"": ""27.3""}",Elko|Owyhee,32007|16073,FALSE,FALSE,America/Los_Angeles,Mountain Home / Mountain Home Air Force Base,89832,TRUE,KMUO0,6589,1198,74.54941285
99667,61.82399,-151.78293,Skwentna,AK,Alaska,TRUE,,86,0,2170,Matanuska-Susitna,"{""02170"": ""100""}",Matanuska-Susitna,2170,FALSE,FALSE,America/Anchorage,Hayes River / Skwentna,99667,TRUE,PALH0,9618,10,74.4565306
77012,29.71896,-95.27431,Houston,TX,Texas,TRUE,,19468,1913.8,48201,Harris,"{""48201"": ""100""}",Harris,48201,FALSE,FALSE,America/Chicago,Houston Hobby Airport,77012,TRUE,KUTS0,1715,3650,73.43945831
59076,46.27876,-107.07395,Sanders,MT,Montana,TRUE,,88,2.9,30103,Treasure,"{""30103"": ""100""}",Treasure,30103,FALSE,FALSE,America/Denver,Big Horn County Airport,59076,TRUE,KJDN0,7749,956,72.77092302
77004,29.72463,-95.36309,Houston,TX,Texas,TRUE,,36959,2469,48201,Harris,"{""48201"": ""100""}",Harris,48201,FALSE,FALSE,America/Chicago,John Dunn Helistop,77004,TRUE,KUTS0,1715,3650,71.88852865
86039,36.06276,-110.53209,Kykotsmovi Village,AZ,Arizona,TRUE,,1273,1.7,4017,Navajo,"{""04017"": ""100""}",Navajo,4017,FALSE,FALSE,America/Denver,Winslow Municipal Airport,86039,TRUE,72374,4497,1530,71.88268706
77005,29.71816,-95.42419,Houston,TX,Texas,TRUE,,28552,2867.1,48201,Harris,"{""48201"": ""100""}",Harris,48201,FALSE,FALSE,America/Chicago,John Dunn Helistop,77005,TRUE,KUTS0,1715,3650,71.74284715
81610,40.3027,-108.76948,Dinosaur,CO,Colorado,TRUE,,320,0.4,8081,Moffat,"{""08081"": ""100""}",Moffat,8081,FALSE,FALSE,America/Denver,Rangely Airport,81610,TRUE,KC070,10508,0,71.66068127
77011,29.7433,-95.30849,Houston,TX,Texas,TRUE,,17803,1925.7,48201,Harris,"{""48201"": ""100""}",Harris,48201,FALSE,FALSE,America/Chicago,John Dunn Helistop,77011,TRUE,KUTS0,1715,3650,71.31035764
57724,45.64027,-104.02776,Camp Crook,SD,South Dakota,TRUE,,233,0.3,46063,Harding,"{""46063"": ""83.81"", ""30011"": ""16.19""}",Harding|Carter,46063|30011,FALSE,FALSE,America/Denver,Buffalo,57724,TRUE,KHEI0,8654,597,70.93505125
77006,29.74088,-95.39132,Houston,TX,Texas,TRUE,,22632,3874.8,48201,Harris,"{""48201"": ""100""}",Harris,48201,FALSE,FALSE,America/Chicago,John Dunn Helistop,77006,TRUE,KUTS0,1715,3650,70.4864646
77003,29.74932,-95.34582,Houston,TX,Texas,TRUE,,9876,1502,48201,Harris,"{""48201"": ""100""}",Harris,48201,FALSE,FALSE,America/Chicago,John Dunn Helistop,77003,TRUE,KUTS0,1715,3650,70.41643555
85341,31.87377,-112.78476,Lukeville,AZ,Arizona,TRUE,,0,0,4019,Pima,"{""04019"": ""100""}",Pima,4019,FALSE,FALSE,America/Phoenix,Gila Bend U. S. Army Airfield,85341,TRUE,KGXF0,1339,4587,70.14492306
99764,63.38147,-141.51133,Northway,AK,Alaska,TRUE,,439,0.1,2240,Southeast Fairbanks,"{""02240"": ""100""}",Southeast Fairbanks,2240,FALSE,FALSE,America/Anchorage,Nabesna,99764,TRUE,CYXQ0,14216,10,70.09526953
36518,31.45453,-88.28395,Chatom,AL,Alabama,TRUE,,2468,7,1129,Washington,"{""01129"": ""100""}",Washington,1129,FALSE,FALSE,America/Chicago,Bay Minette Municipal Airport,36518,TRUE,KPQL0,1636,2734,70.04645146
88009,32.01011,-108.59661,Playas,NM,New Mexico,TRUE,,49,0.1,35023,Hidalgo,"{""35023"": ""100""}",Hidalgo,35023,FALSE,FALSE,America/Denver,Lordsburg,88009,TRUE,KDUG0,2531,2169,69.99805862
77010,29.75365,-95.35982,Houston,TX,Texas,TRUE,,862,2695.8,48201,Harris,"{""48201"": ""100""}",Harris,48201,FALSE,FALSE,America/Chicago,John Dunn Helistop,77010,TRUE,KUTS0,1715,3650,69.95666246
99774,66.01942,-149.0769,Stevens Village,AK,Alaska,TRUE,,11,0.4,2290,Yukon-Koyukuk,"{""02290"": ""100""}",Yukon-Koyukuk,2290,FALSE,FALSE,America/Anchorage,Prospect Creek / Coldfoot,99774,TRUE,PAPR0,14647,31,69.92776766
86033,36.67265,-110.22883,Kayenta,AZ,Arizona,TRUE,,7407,2.4,4017,Navajo,"{""04017"": ""97.57"", ""04001"": ""2.43""}",Navajo|Apache,04017|04001,FALSE,FALSE,America/Denver,Page Municipal Airport,86033,TRUE,72371,3838,2432,69.9181894
77002,29.75641,-95.3653,Houston,TX,Texas,TRUE,,13571,2603.8,48201,Harris,"{""48201"": ""100""}",Harris,48201,FALSE,FALSE,America/Chicago,John Dunn Helistop,77002,TRUE,KUTS0,1715,3650,69.70667968
84621,39.05132,-111.82568,Axtell,UT,Utah,TRUE,,91,4.8,49039,Sanpete,"{""49039"": ""100""}",Sanpete,49039,FALSE,FALSE,America/Denver,Manti-Ephraim Airport,84621,TRUE,72470,6461,1024,69.50238211
59011,45.9299,-109.97895,Big Timber,MT,Montana,TRUE,,3136,1.3,30097,Sweet Grass,"{""30097"": ""100""}",Sweet Grass,30097,FALSE,FALSE,America/Denver,Big Timber Airport,59011,TRUE,72677,7278,865,69.18447248
77013,29.79548,-95.2382,Houston,TX,Texas,TRUE,,20706,911.7,48201,Harris,"{""48201"": ""100""}",Harris,48201,FALSE,FALSE,America/Chicago,John Dunn Helistop,77013,TRUE,KUTS0,1715,3650,68.95735493
79229,33.66676,-100.67825,Dickens,TX,Texas,TRUE,,401,0.7,48125,Dickens,"{""48125"": ""100""}",Dickens,48125,FALSE,FALSE,America/Chicago,Childress Municipal Airport,79229,TRUE,KPVW0,4229,1798,68.91406882
79233,34.52345,-100.52865,Estelline,TX,Texas,TRUE,,116,0.6,48191,Hall,"{""48191"": ""100""}",Hall,48191,FALSE,FALSE,America/Chicago,Childress Municipal Airport,79233,TRUE,KAXS0,3362,3016,68.7548017
